row,Tissue Site (SMTS),SMTSUBRID,SMTSUBRTRM,Tissue Site Detail (SMTSD),Specimen Sampling Site,SMTSDUBRID,SMTSDUBRTRM,ADD: UBERON ID term for Molecular release subdissection,SMTSD_hpo_phenotypes,SMTSD_hra_genes,SMTSD_hra_pop_genes,SMTSD_hra_disease_genes,SMTSD_hra_pop_disease_genes,SMTSD_hra_gene_diseases,SMTSD_hra_pop_gene_diseases,SMTS_hpo_phenotypes,SMTS_hra_genes,SMTS_hra_pop_genes,SMTS_hra_disease_genes,SMTS_hra_pop_disease_genes,SMTS_hra_gene_diseases,SMTS_hra_pop_gene_diseases
1,,"High level, organ level Uberon ID term, corresponding to SMTS",,,(Equivalent to the description added to the anatomogram in adult GTEx on the portal),Uberon ID corresponding to the specific tissue site region sampled (i.e. according to our collection SOPs). Corresponding to SMTSD,,"This would ONLY get added if an experimentalist performed a further subdissection. It will corresponds specifically to the molecular dataset (e.g. sorted or dissected cell populations, greay vs white matter etc etc)",,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,
