gene_label,ct_label,as_label,avg_mean_gene_expr,as,ct,gene
ALS2CL,podocyte,kidney pyramid,1.723572,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_0000653,http://identifiers.org/hgnc/20605
ALS2CL,podocyte,renal column,1.723572,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_0000653,http://identifiers.org/hgnc/20605
ALS2CL,podocyte,outer cortex of kidney,1.723572,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_0000653,http://identifiers.org/hgnc/20605
ALS2CL,podocyte,glomerular visceral epithelium,1.723572,http://purl.obolibrary.org/obo/UBERON_0005751,http://purl.obolibrary.org/obo/CL_0000653,http://identifiers.org/hgnc/20605
ANKRD44,B cell,kidney capsule,1.678571,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/25259
ANKRD44,B cell,kidney,1.678571,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/25259
ANKRD44,B cell,kidney pyramid,1.678571,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/25259
ANKRD44,B cell,kidney interstitium,1.678571,http://purl.obolibrary.org/obo/UBERON_0005215,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/25259
ANKRD44,B cell,renal column,1.678571,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/25259
ANKRD44,B cell,outer cortex of kidney,1.678571,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/25259
ANKRD44,T cell,renal papilla,1.254261,http://purl.obolibrary.org/obo/UBERON_0001228,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/25259
ANKRD44,T cell,kidney capsule,1.254261,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/25259
ANKRD44,T cell,kidney,1.254261,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/25259
ANKRD44,T cell,kidney pyramid,1.254261,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/25259
