gene_label,ct_label,as_label,avg_mean_gene_expr,as,ct,gene
BTG2,kidney collecting duct principal cell,collecting duct of renal tubule,0.734725,http://purl.obolibrary.org/obo/UBERON_0001232,http://purl.obolibrary.org/obo/CL_1001431,http://identifiers.org/hgnc/1131
C7,kidney interstitial fibroblast,kidney interstitium,1.81296,http://purl.obolibrary.org/obo/UBERON_0005215,http://purl.obolibrary.org/obo/CL_1000692,http://identifiers.org/hgnc/1346
C7,kidney interstitial fibroblast,renal column,1.81296,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_1000692,http://identifiers.org/hgnc/1346
C7,kidney interstitial fibroblast,outer cortex of kidney,1.81296,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_1000692,http://identifiers.org/hgnc/1346
C7,kidney interstitial fibroblast,renal papilla,1.81296,http://purl.obolibrary.org/obo/UBERON_0001228,http://purl.obolibrary.org/obo/CL_1000692,http://identifiers.org/hgnc/1346
C7,kidney interstitial fibroblast,kidney capsule,1.81296,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_1000692,http://identifiers.org/hgnc/1346
C7,kidney interstitial fibroblast,kidney,1.81296,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_1000692,http://identifiers.org/hgnc/1346
C7,kidney interstitial fibroblast,kidney pyramid,1.81296,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_1000692,http://identifiers.org/hgnc/1346
CACNA1C,renal interstitial pericyte,renal papilla,1.093564,http://purl.obolibrary.org/obo/UBERON_0001228,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/1390
CACNA1C,renal interstitial pericyte,kidney capsule,1.093564,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/1390
CACNA1C,renal interstitial pericyte,kidney,1.093564,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/1390
CACNA1C,renal interstitial pericyte,kidney blood vessel,1.093564,http://purl.obolibrary.org/obo/UBERON_0003517,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/1390
CACNA1C,renal interstitial pericyte,kidney pyramid,1.093564,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/1390
CACNA1C,renal interstitial pericyte,renal column,1.093564,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/1390
CACNA1C,renal interstitial pericyte,outer cortex of kidney,1.093564,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/1390
CACNA2D3,kidney loop of Henle thick ascending limb epithelial cell,thick ascending limb of loop of Henle,2.27261,http://purl.obolibrary.org/obo/UBERON_0001291,http://purl.obolibrary.org/obo/CL_1001106,http://identifiers.org/hgnc/15460
CACNB4,kidney distal convoluted tubule epithelial cell,distal convoluted tubule,0.72677,http://purl.obolibrary.org/obo/UBERON_0001292,http://purl.obolibrary.org/obo/CL_1000849,http://identifiers.org/hgnc/1404
CALB1,kidney connecting tubule epithelial cell,renal papilla,0.546903,http://purl.obolibrary.org/obo/UBERON_0001228,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/1434
CALB1,kidney connecting tubule epithelial cell,kidney capsule,0.546903,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/1434
CALB1,kidney connecting tubule epithelial cell,kidney,0.546903,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/1434
CALB1,kidney connecting tubule epithelial cell,kidney pyramid,0.546903,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/1434
