asctb_table,record_number,as_label,as,cell_label,cell_id,matched_genes,matched_gene_count,gene_symbols,hgnc_ids,references
allen-brain,558,hypothalamus,http://purl.obolibrary.org/obo/UBERON_0001898,Splat_411 neuron (Hsap),PCL:0051412,PDE3A,1,RORB; PPP1R17; PDE3A,HGNC:10259; HGNC:16973; HGNC:8778,https://doi.org/10.1101/2022.10.12.511898
allen-brain,566,gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,Amex_419 amygdala excitatory neuron (Hsap),PCL:0051420,PTH2R,1,SCN5A; CARM1P1; NR2F2-AS1; PTH2R; CTC-552D5.1,HGNC:10593; HGNC:23392; HGNC:44222; HGNC:9609; ASCTB-TEMP:ctc-552d5-1,https://doi.org/10.1101/2022.10.12.511898
allen-brain,573,gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,EMSN_426 medium spiny neuron (Hsap),PCL:0051427,MEIS1,1,TSHZ1; MEIS1; RP11-537P24.1,HGNC:10669; HGNC:7000; ASCTB-TEMP:rp11-537p24-1,https://doi.org/10.1101/2022.10.12.511898
allen-brain,548,gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,Misc_401 neuron of the forebrain (Hsap),PCL:0051402,CCBE1,1,SOX11; CCBE1; NR2F2-AS1,HGNC:11191; HGNC:29426; HGNC:44222,https://doi.org/10.1101/2022.10.12.511898
allen-brain,556,gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,Splat_409 neuron (Hsap),PCL:0051410,ST18,1,TAC3; ST18; GLP1R,HGNC:11521; HGNC:18695; HGNC:4324,https://doi.org/10.1101/2022.10.12.511898
allen-brain,555,gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,Amex_408 amygdala excitatory neuron (Hsap),PCL:0051409,RELN,1,HPSE2; EOMES; RELN,HGNC:18374; HGNC:3372; HGNC:9957,https://doi.org/10.1101/2022.10.12.511898
allen-brain,576,gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,Splat_429 neuron (Hsap),PCL:0051430,PRDM16,1,PRDM16; FREM2; MYO5B,HGNC:14000; HGNC:25396; HGNC:7603,https://doi.org/10.1101/2022.10.12.511898
allen-brain,562,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Splat_415 neuron (Hsap),PCL:0051416,GNAS,1,PEG10; GNAS,HGNC:14005; HGNC:4392,https://doi.org/10.1101/2022.10.12.511898
allen-brain,569,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Splat_422 neuron (Hsap),PCL:0051423,ADARB2,1,PEG10; LHX6; ADARB2; TMEM255A,HGNC:14005; HGNC:21735; HGNC:227; HGNC:26086,https://doi.org/10.1101/2022.10.12.511898
allen-brain,575,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Splat_428 neuron (Hsap),PCL:0051429,STK32B,1,STK32B; FREM2; RP11-649A16.1,HGNC:14217; HGNC:25396; ASCTB-TEMP:rp11-649a16-1,https://doi.org/10.1101/2022.10.12.511898
allen-brain,572,gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,Splat_425 neuron (Hsap),PCL:0051426,ESR1,1,LHX6; ESR1; NR2F2-AS1; SATB1-AS1,HGNC:21735; HGNC:3467; HGNC:44222; HGNC:50687,https://doi.org/10.1101/2022.10.12.511898
allen-brain,651,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L5-6 PVALB SST CRHR2 primary motor cortex GABAergic interneuron (Hsap),PCL:0015044,HPGD,1,RGS5; SPON1; HPGD,HGNC:10001; HGNC:11252; HGNC:5154,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,684,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Exc L2-3 LINC00507 DSG3 primary motor cortex glutamatergic neuron (Hsap),PCL:0015077,BMPR1B,1,BDNF; BMPR1B,HGNC:1033; HGNC:1077,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,676,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L5-6 PVALB GAPDHP60 primary motor cortex GABAergic interneuron (Hsap),PCL:0015069,GPC5,1,SEMA3C; GPC5; MYBPC1,HGNC:10725; HGNC:4453; HGNC:7549,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,653,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L3-5 SST GGTLC3 primary motor cortex GABAergic interneuron (Hsap),PCL:0015046,RELN,1,EYS; RELN,HGNC:21555; HGNC:9957,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,652,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L3-5 SST OR5AH1P primary motor cortex GABAergic interneuron (Hsap),PCL:0015045,FBXL7,1,SST; FBXL7; ADAMTS5,HGNC:11329; HGNC:13604; HGNC:221,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,678,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L5-6 PVALB MEPE primary motor cortex GABAergic interneuron (Hsap),PCL:0015071,SVIL,1,SVIL; MEPE; MYBPC1,HGNC:11480; HGNC:13361; HGNC:7549,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,658,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L1-3 SST FAM20A primary motor cortex GABAergic interneuron (Hsap),PCL:0015051,PCSK5,1,TAC1; PCSK5,HGNC:11517; HGNC:8747,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,667,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L5-6 PVALB ZFPM2-AS1 primary motor cortex GABAergic interneuron (Hsap),PCL:0015060,PCDH15,1,PCDH15; SEMA6D; ZFPM2-AS1,HGNC:14674; HGNC:16770; HGNC:50698,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,654,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L2-3 SST NMU primary motor cortex GABAergic interneuron (Hsap),PCL:0015047,PIEZO2,1,HPSE2; PIEZO2; NOS1,HGNC:18374; HGNC:26270; HGNC:7872,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,672,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L3 PVALB SAMD13 primary motor cortex GABAergic interneuron (Hsap),PCL:0015065,SULF1,1,SULF1,HGNC:20391,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,680,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Exc L2 LAMP5 KCNG3 primary motor cortex glutamatergic neuron (Hsap),PCL:0015073,SAMD3,1,SAMD3; FAM163A,HGNC:21574; HGNC:28274,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,679,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L1-6 PVALB COL15A1 primary motor cortex GABAergic interneuron (Hsap),PCL:0015072,NPNT,1,COL15A1; NPNT,HGNC:2192; HGNC:27405,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,668,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L3-5 PVALB ISG20 primary motor cortex GABAergic interneuron (Hsap),PCL:0015061,SV2C,1,SV2C,HGNC:30670,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,688,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Exc L3 THEMIS ENPEP primary motor cortex glutamatergic neuron (Hsap),PCL:0015082,LAMA2,1,FAP; LAMA2,HGNC:3590; HGNC:6482,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,223,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Chrp_76 choroid plexus epithelial cell (Hsap),PCL:0051077,ST18,1,PLP1; ST18; OTX2-AS1; RP11-690J15.1,HGNC:9086; HGNC:18695; HGNC:43906; ASCTB-TEMP:rp11-690j15-1,https://doi.org/10.1101/2022.10.12.511898
allen-brain,642,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L3-6 VIP ZIM2-AS1 primary motor cortex GABAergic interneuron (Hsap),PCL:0015035,CXCL14,1,CXCL14; PENK,HGNC:10640; HGNC:8831,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,637,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L3-5 VIP HS3ST3A1 primary motor cortex GABAergic interneuron (Hsap),PCL:0015030,IQGAP2,1,SLC22A3; ABI3BP; IQGAP2,HGNC:10967; HGNC:17265; HGNC:6111,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,636,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L1-5 VIP SMOC1 primary motor cortex GABAergic interneuron (Hsap),PCL:0015029,SMOC1,1,VIP; SMOC1; ANGPT1,HGNC:12693; HGNC:20318; HGNC:484,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,617,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L1 LAMP5 NMBR primary motor cortex GABAergic interneuron (Hsap),PCL:0015015,RELN,1,PCDH18; RELN,HGNC:14268; HGNC:9957,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,638,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L5-6 VIP COL4A3 primary motor cortex GABAergic interneuron (Hsap),PCL:0015031,PARD3B,1,PARD3B; KCTD12; ABI3BP,HGNC:14446; HGNC:14678; HGNC:17265,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,641,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L2-5 VIP SOX11 primary motor cortex GABAergic interneuron (Hsap),PCL:0015034,ADAMTSL1,1,ADAMTSL1; THSD7B; HTR2C,HGNC:14632; HGNC:29348; HGNC:5295,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,632,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L1-3 VIP CHRNA2 primary motor cortex GABAergic interneuron (Hsap),PCL:0015025,EYA4,1,PPP1R1C; EYA4,HGNC:14940; HGNC:3522,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,628,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L1-3 VIP HSPB6 primary motor cortex GABAergic interneuron (Hsap),PCL:0015021,IGFBP5,1,CCNG2; IGFBP5,HGNC:1593; HGNC:5474,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,644,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L1-5 VIP LINC01013 primary motor cortex GABAergic interneuron (Hsap),PCL:0015037,SRGAP1,1,DACH2; SRGAP1; THSD7B,HGNC:16814; HGNC:17382; HGNC:29348,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,633,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L2 VIP SLC6A16 primary motor cortex GABAergic interneuron (Hsap),PCL:0015026,KCNT2,1,KCNT2,HGNC:18866,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,625,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L1 SST DEFB108B primary motor cortex GABAergic interneuron (Hsap),PCL:0015018,SYT10,1,SYT10; NDST4,HGNC:19266; HGNC:20779,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,618,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L1 PAX6 CHRFAM7A primary motor cortex GABAergic interneuron (Hsap),PCL:0015009,CHRNA7,1,CHRNA7; CNR1; LINC01539,HGNC:1960; HGNC:2159; HGNC:51307,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,616,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L1 LAMP5 BMP2 primary motor cortex GABAergic interneuron (Hsap),PCL:0015014,FREM1,1,COL5A2; FREM1,HGNC:2210; HGNC:23399,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,620,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L2 PAX6 FREM2 primary motor cortex GABAergic interneuron (Hsap),PCL:0015011,IGFBP7,1,CILP2; IGFBP7,HGNC:24213; HGNC:5476,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,643,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L1-5 VIP PHLDB3 primary motor cortex GABAergic interneuron (Hsap),PCL:0015036,EGF,1,THSD7B; EGF,HGNC:29348; HGNC:3229,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,635,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L3-5 VIP IGDCC3 primary motor cortex GABAergic interneuron (Hsap),PCL:0015028,NOX4,1,EREG; NOX4,HGNC:3443; HGNC:7891,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,341,hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,CA4_194 hippocampal CA4 neuron (Hsap),PCL:0051195,RPL26,1,RPL26; HOPX; C9orf16,HGNC:10327; HGNC:24961; ASCTB-TEMP:c9orf16,https://doi.org/10.1101/2022.10.12.511898
allen-brain,393,gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,MGE_246 sst GABAergic cortical interneuron (Hsap),PCL:0051247,MAF,1,SST; LINC02008; MAF,HGNC:11329; HGNC:52844; HGNC:6776,https://doi.org/10.1101/2022.10.12.511898
allen-brain,395,cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,MGE_248 sst GABAergic cortical interneuron (Hsap),PCL:0051249,DCN,1,TAC1; DCN; RP11-799O21.2,HGNC:11517; HGNC:2705; ASCTB-TEMP:rp11-799o21-2,https://doi.org/10.1101/2022.10.12.511898
allen-brain,399,cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,MGE_252 sst GABAergic cortical interneuron (Hsap),PCL:0051253,EDNRA,1,TAC3; EDNRA; ABC10-43608400O15.1,HGNC:11521; HGNC:3179; ASCTB-TEMP:abc10-43608400o15-1,https://doi.org/10.1101/2022.10.12.511898
allen-brain,378,gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,EMSN_231 medium spiny neuron (Hsap),PCL:0051232,TLL1,1,TLL1; PCDH11Y; RXFP1; LMNTD1; VWC2L; NPFFR2,HGNC:11843; HGNC:15813; HGNC:19718; HGNC:26683; HGNC:37203; HGNC:4525,https://doi.org/10.1101/2022.10.12.511898
allen-brain,386,cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,MGE_239 sst GABAergic cortical interneuron (Hsap),PCL:0051240,PIEZO2,1,HPSE2; PIEZO2; RP11-656G20.1,HGNC:18374; HGNC:26270; ASCTB-TEMP:rp11-656g20-1,https://doi.org/10.1101/2022.10.12.511898
allen-brain,380,brain,http://purl.obolibrary.org/obo/UBERON_0000955,EMSN_233 medium spiny neuron (Hsap),PCL:0051234,CADPS2,1,CADPS2; ZNF736P9Y; PCDH11X; AC133680.1,HGNC:16018; HGNC:38408; HGNC:8656; ASCTB-TEMP:ac133680-1,https://doi.org/10.1101/2022.10.12.511898
allen-brain,387,cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,MGE_240 sst GABAergic cortical interneuron (Hsap),PCL:0051241,SYT10,1,FBN2; SYT10; TAFA4; RP11-656G20.1,HGNC:3604; HGNC:19266; HGNC:21591; ASCTB-TEMP:rp11-656g20-1,https://doi.org/10.1101/2022.10.12.511898
allen-brain,346,hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,DG_199 dentate gyrus granule cell (Hsap),PCL:0051200,POSTN,1,POSTN; bP-21201H5.1,HGNC:16953; ASCTB-TEMP:bp-21201h5-1,https://doi.org/10.1101/2022.10.12.511898
allen-brain,403,cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,MGE_256 pvalb GABAergic cortical interneuron (Hsap),PCL:0051257,ADAMTS17,1,ADAMTS17; SHISA8; MYBPC1,HGNC:17109; HGNC:18351; HGNC:7549,https://doi.org/10.1101/2022.10.12.511898
allen-brain,385,gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,Splat_238 neuron (Hsap),PCL:0051239,ST18,1,ST18; IL1RAPL2,HGNC:18695; HGNC:5997,https://doi.org/10.1101/2022.10.12.511898
allen-brain,377,brain,http://purl.obolibrary.org/obo/UBERON_0000955,EMSN_230 medium spiny neuron (Hsap),PCL:0051231,EYA2,1,RXFP1; ADAMTS3; EYA2; HRH3,HGNC:19718; HGNC:219; HGNC:3520; HGNC:5184,https://doi.org/10.1101/2022.10.12.511898
allen-brain,394,hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,MGE_247 medial ganglionic eminence derived interneuron (Hsap),PCL:0051248,LPAR1,1,COL5A2; LPAR1; CTD-2288O8.3,HGNC:2210; HGNC:3166; ASCTB-TEMP:ctd-2288o8-3,https://doi.org/10.1101/2022.10.12.511898
allen-brain,172,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Fbl_25 fibroblast (Hsap),PCL:0051026,LTBP2,1,TBX18; LTBP2,HGNC:11595; HGNC:6715,https://doi.org/10.1101/2022.10.12.511898
allen-brain,148,brain,http://purl.obolibrary.org/obo/UBERON_0000955,T cell,CL:0000084,THEMIS,1,CD2; THEMIS,HGNC:1639; HGNC:21569,https://doi.org/10.1101/2022.10.12.511898
allen-brain,187,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Oligo_40 oligodendrocyte (Hsap),PCL:0051041,ERBB4,1,PLP1; OPALIN; ERBB4,HGNC:9086; HGNC:20707; HGNC:3432,https://doi.org/10.1101/2022.10.12.511898
allen-brain,166,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Vsmc_19 brain vascular cell (Hsap),PCL:0051020,MECOM,1,ACTA2; MECOM,HGNC:130; HGNC:3498,https://doi.org/10.1101/2022.10.12.511898
allen-brain,147,brain,http://purl.obolibrary.org/obo/UBERON_0000955,B cell,CL:0000236,MS4A1,1,MS4A1,HGNC:7315,https://doi.org/10.1101/2022.10.12.511898
allen-brain,180,brain,http://purl.obolibrary.org/obo/UBERON_0000955,OPC_33 oligodendrocyte precursor cell (Hsap),PCL:0051034,APOD,1,OLIG1; APOD; RP1-45C12.1,HGNC:16983; HGNC:612; ASCTB-TEMP:rp1-45c12-1,https://doi.org/10.1101/2022.10.12.511898
allen-brain,157,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Mgl_10 microglial cell (Hsap),PCL:0051011,DOCK8,1,P2RY12; DOCK8; LNCAROD,HGNC:18124; HGNC:19191; HGNC:50913,https://doi.org/10.1101/2022.10.12.511898
allen-brain,156,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Mgl_9 microglial cell (Hsap),PCL:0051010,AIF1,1,CX3CR1; AIF1; LINC02712,HGNC:2558; HGNC:352; HGNC:54229,https://doi.org/10.1101/2022.10.12.511898
allen-brain,178,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Fbl_31 arachnoid barrier cell (Hsap),PCL:0051032,BNC2,1,BNC2; PTGDR,HGNC:30988; HGNC:9591,https://doi.org/10.1101/2022.10.12.511898
allen-brain,174,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Fbl_27 fibroblast (Hsap),PCL:0051028,ABCA8,1,FMO2; ABCA8; LINC02147,HGNC:3770; HGNC:38; HGNC:53007,https://doi.org/10.1101/2022.10.12.511898
allen-brain,149,brain,http://purl.obolibrary.org/obo/UBERON_0000955,natural killer cell,CL:0000623,GNLY,1,GNLY; NKG7,HGNC:4414; HGNC:7830,https://doi.org/10.1101/2022.10.12.511898
allen-brain,184,brain,http://purl.obolibrary.org/obo/UBERON_0000955,COP_37 committed oligodendrocyte precursor (Hsap),PCL:0051038,BCAS1,1,GPR17; PRRX1; BCAS1,HGNC:4471; HGNC:9142; HGNC:974,https://doi.org/10.1101/2022.10.12.511898
allen-brain,151,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Mgl_4 microglial cell (Hsap),PCL:0051005,SRGN,1,HIF1A-AS3; SRGN,HGNC:54284; HGNC:9361,https://doi.org/10.1101/2022.10.12.511898
allen-brain,185,brain,http://purl.obolibrary.org/obo/UBERON_0000955,COP_38 committed oligodendrocyte precursor (Hsap),PCL:0051039,BCAS1,1,BCAS1; RP11-89N17.4,HGNC:974; ASCTB-TEMP:rp11-89n17-4,https://doi.org/10.1101/2022.10.12.511898
allen-brain,531,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Splat_384 neuron (Hsap),PCL:0051385,LMX1A,1,PITX2; CDH23; LMX1A,HGNC:9005; HGNC:13733; HGNC:6653,https://doi.org/10.1101/2022.10.12.511898
allen-brain,540,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Splat_393 neuron (Hsap),PCL:0051394,RNF220,1,SIX3; RNF220; ISL1,HGNC:10889; HGNC:25552; HGNC:6132,https://doi.org/10.1101/2022.10.12.511898
allen-brain,532,hypothalamus,http://purl.obolibrary.org/obo/UBERON_0001898,Splat_385 neuron (Hsap),PCL:0051386,LMX1A,1,AR; LMX1A,HGNC:644; HGNC:6653,https://doi.org/10.1101/2022.10.12.511898
allen-brain,544,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Splat_397 neuron (Hsap),PCL:0051398,SLC6A4,1,SLC6A4; TPH2,HGNC:11050; HGNC:20692,https://doi.org/10.1101/2022.10.12.511898
allen-brain,526,pons,http://purl.obolibrary.org/obo/UBERON_0000988,Splat_379 neuron (Hsap),PCL:0051380,EBF2,1,SLC6A5; EBF2; OTP,HGNC:11051; HGNC:19090; HGNC:8518,https://doi.org/10.1101/2022.10.12.511898
allen-brain,529,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Splat_382 neuron (Hsap),PCL:0051383,TCF7L2,1,SST; TCF7L2; RSPO3,HGNC:11329; HGNC:11641; HGNC:20866,https://doi.org/10.1101/2022.10.12.511898
allen-brain,514,midbrain,http://purl.obolibrary.org/obo/UBERON_0001891,Splat_367 neuron (Hsap),PCL:0051368,TCF7L2,1,TAC1; TCF7L2; PRLR,HGNC:11517; HGNC:11641; HGNC:9446,https://doi.org/10.1101/2022.10.12.511898
allen-brain,521,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Splat_374 neuron (Hsap),PCL:0051375,LMX1A,1,TFAP2B; LMX1A,HGNC:11743; HGNC:6653,https://doi.org/10.1101/2022.10.12.511898
allen-brain,524,gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,Splat_377 neuron (Hsap),PCL:0051378,LHX1,1,ZIC2; LHX1; DIRAS3,HGNC:12873; HGNC:6593; HGNC:687,https://doi.org/10.1101/2022.10.12.511898
allen-brain,541,pons,http://purl.obolibrary.org/obo/UBERON_0000988,Splat_394 neuron (Hsap),PCL:0051395,NPNT,1,LHX9; NPNT; LINC01798,HGNC:14222; HGNC:27405; HGNC:52588,https://doi.org/10.1101/2022.10.12.511898
allen-brain,517,midbrain,http://purl.obolibrary.org/obo/UBERON_0001891,Splat_370 neuron (Hsap),PCL:0051371,EBF2,1,LGR5; EBF3; EBF2; LEF1,HGNC:4504; HGNC:19087; HGNC:19090; HGNC:6551,https://doi.org/10.1101/2022.10.12.511898
allen-brain,523,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Splat_376 neuron (Hsap),PCL:0051377,ZFHX3,1,ZFHX3; RP11-491F9.1,HGNC:777; ASCTB-TEMP:rp11-491f9-1,https://doi.org/10.1101/2022.10.12.511898
allen-brain,525,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Splat_378 neuron (Hsap),PCL:0051379,ONECUT1,1,ONECUT1; ISL1,HGNC:8138; HGNC:6132,https://doi.org/10.1101/2022.10.12.511898
allen-brain,361,gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,MSN_214 direct pathway medium spiny neuron (Hsap),PCL:0051215,STAC,1,STAC; DRD1; LINC01117,HGNC:11353; HGNC:3020; HGNC:49260,https://doi.org/10.1101/2022.10.12.511898
allen-brain,371,gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,EMSN_224 medium spiny neuron (Hsap),PCL:0051225,FOXP2,1,TACR1; FOXP2; RXFP1; ALK,HGNC:11526; HGNC:13875; HGNC:19718; HGNC:427,https://doi.org/10.1101/2022.10.12.511898
allen-brain,349,hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,DG_202 dentate gyrus granule cell (Hsap),PCL:0051203,ADRA1A,1,TTR; ADRA1A; RP11-719N9.1,HGNC:12405; HGNC:277; ASCTB-TEMP:rp11-719n9-1,https://doi.org/10.1101/2022.10.12.511898
allen-brain,350,hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,DG_203 dentate gyrus granule cell (Hsap),PCL:0051204,ST18,1,ST18; LINC02248; RP11-484N11.1,HGNC:18695; HGNC:53147; ASCTB-TEMP:rp11-484n11-1,https://doi.org/10.1101/2022.10.12.511898
