asctb_table,record_number,as_label,as,cell_label,cell_id,matched_genes,matched_gene_count,gene_symbols,hgnc_ids,references
allen-brain,584,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Midi_437 midbrain-derived inhibitory neuron (Hsap),PCL:0051438,BMPR1B,1,RORB; BMPR1B; OTX2-AS1; CH17-174L20.1,HGNC:10259; HGNC:1077; HGNC:43906; ASCTB-TEMP:ch17-174l20-1,https://doi.org/10.1101/2022.10.12.511898
allen-brain,586,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Midi_439 midbrain-derived inhibitory neuron (Hsap),PCL:0051440,PRSS12,1,SEMA3C; OTX2-AS1; LINC02055; PRSS12,HGNC:10725; HGNC:43906; HGNC:52895; HGNC:9477,https://doi.org/10.1101/2022.10.12.511898
allen-brain,596,thalamus,https://purl.org/ccf/ASCTB-TEMP_thalamus,Thex_449 thalamic excitatory neuron (Hsap),PCL:0051450,EDNRB,1,CASQ2; EDNRB; NTS,HGNC:1513; HGNC:3180; HGNC:8038,https://doi.org/10.1101/2022.10.12.511898
allen-brain,598,thalamus,https://purl.org/ccf/ASCTB-TEMP_thalamus,Thex_451 thalamic excitatory neuron (Hsap),PCL:0051452,CD226,1,CASQ2; CD226; AC092684.1,HGNC:1513; HGNC:16961; ASCTB-TEMP:ac092684-1,https://doi.org/10.1101/2022.10.12.511898
allen-brain,589,thalamus,https://purl.org/ccf/ASCTB-TEMP_thalamus,Midi_442 midbrain-derived inhibitory neuron (Hsap),PCL:0051443,CASR,1,CASR; TSPAN12; NPSR1,HGNC:1514; HGNC:21641; HGNC:23631,https://doi.org/10.1101/2022.10.12.511898
allen-brain,609,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L1 LAMP5 RAB11FIP1 primary motor cortex GABAergic interneuron (Hsap),PCL:0015002,FREM1,1,ADAMTS20; FREM1,HGNC:17178; HGNC:23399,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,582,brain,http://purl.obolibrary.org/obo/UBERON_0000955,Midi_435 midbrain-derived inhibitory neuron (Hsap),PCL:0051436,LTBP1,1,TRPC7; NPSR1; NR2F2-AS1; LTBP1,HGNC:20754; HGNC:23631; HGNC:44222; HGNC:6714,https://doi.org/10.1101/2022.10.12.511898
allen-brain,606,gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,Thex_459 thalamic excitatory neuron (Hsap),PCL:0051460,RNF220,1,SLITRK6; RNF220; MCUB,HGNC:23503; HGNC:25552; HGNC:26076,https://doi.org/10.1101/2022.10.12.511898
allen-brain,613,primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,Inh L5-6 LAMP5 CRABP1 primary motor cortex GABAergic interneuron (Hsap),PCL:0015006,PDGFD,1,PDGFD,HGNC:30620,https://doi.org/10.1038/s41586-021-03465-8
allen-brain,595,thalamus,https://purl.org/ccf/ASCTB-TEMP_thalamus,Thex_448 thalamic excitatory neuron (Hsap),PCL:0051449,NDRG1,1,ETV1; NDRG1,HGNC:3490; HGNC:7679,https://doi.org/10.1101/2022.10.12.511898
