leiden_sub,cell_id,cell_label,evidence,table,table_count,references,shared_markers,asctb_markers
"20,2",PCL:0051292,CGE_291 VIP GABAergic cortical interneuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,EDNRA,RP1-35C21.2; EDNRA; NPR3
"20,2",PCL:0051107,DLCT6b_106 glutamatergic neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,EDNRA,CTD-2050E21.1; RP11-81D17.1; EDNRA
"20,2",PCL:0051306,CBI_305 cerebellar inhibitory GABAergic interneuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,NTN1,NTN1; LINC02552; TFAP2B; BMPR1B
"20,2",PCL:0051282,CGE_281 VIP GABAergic cortical interneuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,EDNRA,HTR3A; EDNRA
"20,2",PCL:0051032,Fbl_31 arachnoid barrier cell (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,BNC2,PTGDR; BNC2
"20,2",PCL:0015042,Inh L5 SST RPL35AP11 primary motor cortex GABAergic interneuron (Hsap),1,allen-brain,1,https://doi.org/10.1038/s41586-021-03465-8,EDNRA,EDNRA; TRHDE; FREM1
"21,0",PCL:0015113,Exc L5 FEZF2 PKD2L1 primary motor cortex glutamatergic neuron (Hsap),1,allen-brain,1,https://doi.org/10.1038/s41586-021-03465-8,VGLL3,VGLL3; NPSR1-AS1
"21,0",PCL:0051302,CBI_301 cerebellar inhibitory GABAergic interneuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,SCIN,SCIN; SLC6A5; RREB1
"21,0",PCL:0051177,Misc_176 neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,COBLL1,RP11-719N9.1; FREM2; COBLL1; CARM1P1
"21,0",PCL:0051425,Splat_424 neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,CYP19A1,ZBTB7C; CYP19A1; LHX6; NR2F2
"21,0",PCL:0051178,Misc_177 neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,COBLL1,CTC-535M15.2; RP11-719N9.1; COBLL1; CALCRL; VIPR2
"21,0",PCL:0015080,Exc L2-3 RORB CCDC68 primary motor cortex glutamatergic neuron (Hsap),1,allen-brain,1,https://doi.org/10.1038/s41586-021-03465-8,COBLL1,PRSS12; COBLL1; COL5A2
"21,0",PCL:0051007,Mgl_6 microglial cell (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,SCIN,LINC00278; ITGAX; SCIN
"21,1",PCL:0051416,Splat_415 neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,PEG10,GNAS; PEG10
"21,1",PCL:0051423,Splat_422 neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,PEG10,TMEM255A; ADARB2; LHX6; PEG10
"21,1",PCL:0051367,Splat_366 neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,TCF7L2,KLHL1; DACH1; EBF3; TCF7L2
"21,1",PCL:0015060,Inh L5-6 PVALB ZFPM2-AS1 primary motor cortex GABAergic interneuron (Hsap),1,allen-brain,1,https://doi.org/10.1038/s41586-021-03465-8,SEMA6D,ZFPM2-AS1; SEMA6D; PCDH15
"21,1",PCL:0051369,Splat_368 neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,TCF7L2,SNHG14; EBF1; EBF3; TCF7L2
"21,1",PCL:0051374,Splat_373 neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,TCF7L2,LHX2; PDGFD; TCF7L2; SHOX2
"21,1",PCL:0051457,Thex_456 thalamic excitatory neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,TCF7L2,LINC02296; ST8SIA6; TCF7L2; BMP6
"21,1",PCL:0051383,Splat_382 neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,TCF7L2,RSPO3; TCF7L2; SST
"21,1",PCL:0051373,Thex_372 thalamic excitatory neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,TCF7L2,PTH2R; RNF220; FAM9B; TCF7L2
"21,1",PCL:0051368,Splat_367 neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,TCF7L2,PRLR; TCF7L2; TAC1
"21,1",PCL:0051355,Splat_354 neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,TCF7L2,RP11-66G15.1; LHX1; TCF7L2
"3,0",CL:0000235,macrophage,78,large-intestine; lymph-node; fallopian-tube; skin,4,https://doi.org/10.1136/ard.2003.013029; https://doi.org/10.1016/j.actatropica.2016.01.008; https://doi.org/10.1038/labinvest.2016.116; https://doi.org/10.1038/jid.2010.165; https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1016/j.celrep.2021.108978,MRC1; CD163,CD4; CD14; MRC1; ITGAX; CD209; CD74; CD68; HLA-DRA; ITGAM; SIGLEC1; MARCO; LYZ; CD163
"3,0",CL:0002138,endothelial cell of lymphatic vessel,34,large-intestine; skin; spleen; thymus; lymph-node,5,https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1369%2Fjhc.4A6514.2005; https://doi.org/10.1369/jhc.4A6514.2005; PMID:16515224; https://doi.org/10.3389/fimmu.2012.00283; https://doi.org/10.1038/jid.2013.481; https://doi.org/10.1016/j.immuni.2019.06.027; https://doi.org/10.3389/fcvm.2020.00052; https://doi.org/10.1007/978-1-4939-0897-4_3,LYVE1,NTS; CLEC4G; CD209; STAB2; PDPN; PROX1; ACKR4; CAV1; MARCO; CLDN11; ICAM1; CD274; NUDT4; CLEC4M; LYVE1; LAPTM5; FABP5; MFAP4; NT5E; NUPR1; PECAM1; VWF; CCL21; PTPRC; Ulex+; CAVIN2; TFF3; MMRN1; TNFRSF9; TFPI
"3,0",CL:0000866,thymic macrophage,9,thymus,1,https://doi.org/10.1016/j.imbio.2008.07.032; https://doi.org/10.1016/s0065-2776(08)60900-1; https://doi.org/10.1016/j.imbio.2008.07.032.; https://doi.org/10.1126/science.aay3224,SELENOP; STAB1; CD163,LGMN; LYZ; ITGAX; ICAM1; MS4A7; CD68; SELENOP; SLC40A1; C1QB; C1QA; ITGAM; C1QC; CD163; RNASE1; CD209; APOE; STAB1
"3,0",CL:3000001,Hofbauer cell,5,placenta,1,https://doi.org/10.1053/plac.2000.0559; https://doi.org/10.1016/j.placenta.2007.11.003; PMID:8014121,CD163,CD163; FCGR1A; CD68
"3,0",CL:0001058,"plasmacytoid dendritic cell, human",3,spleen,1,https://doi.org/10.4049/jimmunol.1002632; https://doi.org/10.1111/imm.12469; https://doi.org/10.1186/s13059-019-1906-x,NRP1,NRP1; ITGAX; IL3RA; CLEC4C
"3,0",CL:4033064,uterine resident macrophage,3,placenta,1,https://doi.org/10.1371/journal.pone.0002078; https://doi.org/10.1038/s41423-018-0008-0; https://doi.org/10.1053/plac.2000.0559,MRC1,MRC1; CD68; ITGAX; CD209
"3,0",CL:0000882,thymic medullary macrophage,3,thymus,1,https://doi.org/10.1016/s0065-2776(08)60900-1; https://doi.org/10.1016/j.imbio.2008.07.032; https://doi.org/10.1126/science.aay3224,SELENOP; STAB1; CD163,LGMN; LYZ; ITGAX; ICAM1; MS4A7; CD68; SELENOP; SLC40A1; C1QB; C1QA; ITGAM; C1QC; CD163; RNASE1; CD209; APOE; STAB1
"3,0",CL:1000695,kidney interstitial alternatively activated macrophage,2,kidney,1,https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2; https://doi.org/10.1126/science.aat5031,CD163; MRC1,ITGAX; IL7R; HLA-DRA; MRC1; CD163; CD14
