leiden_sub,hra_pop_gene_expr_1,hra_pop_gene_expr_2,hra_pop_gene_expr_3,hra_pop_gene_expr_4,hra_pop_gene_expr_5
"11,4","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[45505 bg][6602 ds]","naive thymus-derived CD8-positive, alpha-beta T cell (CL:0000900)[36715 bg][5618 ds]","CD4-positive, alpha-beta memory T cell (CL:0000897)[19272 bg][3758 ds]",plasma cell (CL:0000786)[11267 bg][1763 ds],CD1c-positive myeloid dendritic cell (CL:0002399)[10117 bg][1915 ds]
"11,5",mast cell (CL:0000097)[12494 bg][2059 ds],colonocyte (CL:1000347)[922 bg][220 ds],basophil (CL:0000767)[850 bg][263 ds],paneth cell (CL:0000510)[810 bg][183 ds],transit amplifying cell (CL:0009010)[749 bg][179 ds]
"11,6",platelet (CL:0000233)[1569 bg][372 ds],megakaryocyte progenitor cell (CL:0000553)[477 bg][113 ds],common myeloid progenitor (CL:0000049)[94 bg][30 ds],renal medullary fibroblast (CL:4030022)[21 bg][7 ds],mast cell (CL:0000097)[17 bg][5 ds]
"11,7",intestinal tuft cell (CL:0019032)[2526 bg][437 ds],tuft cell (CL:0002204)[789 bg][171 ds],tuft cell of small intestine (CL:0009080)[509 bg][102 ds],kidney cortex collecting duct principal cell (CL:1000714)[54 bg][18 ds],kidney connecting tubule principal cell (CL:4030018)[54 bg][18 ds]
"13,0",Schwann cell (CL:0002573)[5414 bg][756 ds],retinal ganglion cell (CL:0000740)[5400 bg][808 ds],cardiac glial cell (CL:0010020)[5082 bg][638 ds],neuron (CL:0000540)[3469 bg][595 ds],glial cell (CL:0000125)[2633 bg][595 ds]
"13,1",endothelial cell of lymphatic vessel (CL:0002138)[166 bg][51 ds],"naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[72 bg][24 ds]",common lymphoid progenitor (CL:0000051)[28 bg][8 ds],cholangiocyte (CL:1000488)[27 bg][9 ds],vein endothelial cell (CL:0002543)[19 bg][6 ds]
"13,2",fibroblast (CL:0000057)[21162 bg][2684 ds],myofibroblast cell (CL:0000186)[2026 bg][482 ds],kidney interstitial fibroblast (CL:1000692)[1750 bg][449 ds],pericyte (CL:0000669)[1200 bg][370 ds],alveolar type 1 fibroblast cell (CL:4028004)[1110 bg][216 ds]
"13,3","naive thymus-derived CD8-positive, alpha-beta T cell (CL:0000900)[20154 bg][3985 ds]","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[19370 bg][4103 ds]","CD4-positive, alpha-beta memory T cell (CL:0000897)[9571 bg][2216 ds]",plasma cell (CL:0000786)[6454 bg][1451 ds],erythroid lineage cell (CL:0000764)[5040 bg][1085 ds]
"13,4",neuron (CL:0000540)[851 bg][260 ds],L5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex (CL:4023049)[485 bg][113 ds],enteroendocrine cell (CL:0000164)[414 bg][115 ds],pancreatic PP cell (CL:0002275)[360 bg][103 ds],retinal bipolar neuron (CL:0000748)[313 bg][95 ds]
"13,5",glial cell (CL:0000125)[544 bg][150 ds],astrocyte (CL:0000127)[143 bg][39 ds],melanocyte (CL:0000148)[119 bg][29 ds],monocyte (CL:0000576)[113 bg][36 ds],enteroglial cell (CL:4040002)[96 bg][30 ds]
"13,6",Schwann cell (CL:0002573)[1476 bg][425 ds],retinal ganglion cell (CL:0000740)[1400 bg][404 ds],cardiac glial cell (CL:0010020)[1058 bg][320 ds],neuron (CL:0000540)[892 bg][263 ds],astrocyte (CL:0000127)[740 bg][216 ds]
"13,7",monocyte (CL:0000576)[12058 bg][3333 ds],CD14-positive monocyte (CL:0001054)[11770 bg][3380 ds],"CD14-positive, CD16-negative classical monocyte (CL:0002057)[9552 bg][2773 ds]","CD14-low, CD16-positive monocyte (CL:0002396)[6430 bg][1876 ds]",classical monocyte (CL:0000860)[5346 bg][1649 ds]
"14,0",CD14-positive monocyte (CL:0001054)[327 bg][109 ds],"CD14-positive, CD16-negative classical monocyte (CL:0002057)[237 bg][79 ds]",kidney inner medulla collecting duct principal cell (CL:1000718)[194 bg][57 ds],monocyte (CL:0000576)[144 bg][48 ds],CD1c-positive myeloid dendritic cell (CL:0002399)[114 bg][34 ds]
"14,1",kidney connecting tubule principal cell (CL:4030018)[2686 bg][531 ds],kidney connecting tubule epithelial cell (CL:1000768)[2125 bg][486 ds],kidney cortex collecting duct principal cell (CL:1000714)[1956 bg][429 ds],epithelial cell of distal tubule (CL:0002305)[1769 bg][468 ds],kidney loop of Henle cortical thick ascending limb epithelial cell (CL:1001109)[1590 bg][412 ds]
"15,0",kidney loop of Henle epithelial cell (CL:1000909)[2035 bg][591 ds],kidney loop of Henle cortical thick ascending limb epithelial cell (CL:1001109)[1477 bg][442 ds],kidney loop of Henle medullary thick ascending limb epithelial cell (CL:1001108)[1018 bg][292 ds],macula densa epithelial cell (CL:1000850)[388 bg][125 ds],kidney loop of Henle thin ascending limb epithelial cell (CL:1001107)[252 bg][79 ds]
