leiden_sub,hra_pop_gene_expr_1,hra_pop_gene_expr_2,hra_pop_gene_expr_3,hra_pop_gene_expr_4,hra_pop_gene_expr_5
"6,4","CD4-positive, alpha-beta memory T cell (CL:0000897)[20499 bg][3916 ds]","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[18670 bg][3868 ds]",naive T cell (CL:0000898)[6974 bg][1652 ds],T cell (CL:0000084)[4500 bg][1133 ds],"CD4-positive, alpha-beta T cell (CL:0000624)[3700 bg][719 ds]"
"6,5","CD4-positive, CD25-positive, alpha-beta regulatory T cell (CL:0000792)[17539 bg][4332 ds]",regulatory T cell (CL:0000815)[12130 bg][2707 ds],T follicular helper cell (CL:0002038)[308 bg][97 ds],naive regulatory T cell (CL:0002677)[221 bg][63 ds],"CD4-positive, alpha-beta memory T cell (CL:0000897)[172 bg][53 ds]"
"7,0",fibroblast (CL:0000057)[304 bg][99 ds],parietal epithelial cell (CL:1000452)[153 bg][49 ds],adventitial fibroblast (CL:4052030)[133 bg][44 ds],myofibroblast cell (CL:0000186)[112 bg][34 ds],alveolar adventitial fibroblast (CL:4028006)[67 bg][21 ds]
"7,1",deuterosomal cell (CL:4033044)[156 bg][42 ds],alveolar capillary type 1 endothelial cell (CL:4028002)[6 bg][2 ds],CCL3-positive alveolar macrophage (CL:4033041)[6 bg][2 ds],multiciliated columnar cell of tracheobronchial tree (CL:0002145)[6 bg][2 ds],fibroblast (CL:0000057)[4 bg][1 ds]
"7,2",pulmonary alveolar type 2 cell (CL:0002063)[766 bg][152 ds],tracheobronchial serous cell (CL:0019001)[222 bg][71 ds],club cell (CL:0000158)[131 bg][43 ds],naive B cell (CL:0000788)[111 bg][37 ds],pulmonary alveolar epithelial cell (CL:0000322)[64 bg][20 ds]
"8,0",fibroblast (CL:0000057)[471 bg][143 ds],myofibroblast cell (CL:0000186)[448 bg][114 ds],pulmonary alveolar type 2 cell (CL:0002063)[185 bg][50 ds],adipocyte (CL:0000136)[149 bg][42 ds],pericyte (CL:0000669)[143 bg][46 ds]
"8,1",endothelial cell of lymphatic vessel (CL:0002138)[3900 bg][769 ds],endothelial cell of respiratory system lymphatic vessel (CL:0009086)[685 bg][188 ds],alveolar capillary type 2 endothelial cell (CL:4028003)[48 bg][16 ds],pulmonary alveolar type 2 cell (CL:0002063)[33 bg][11 ds],vein endothelial cell (CL:0002543)[31 bg][10 ds]
"8,2",endothelial cell of lymphatic vessel (CL:0002138)[15236 bg][2223 ds],endothelial cell of respiratory system lymphatic vessel (CL:0009086)[1634 bg][325 ds],vein endothelial cell (CL:0002543)[626 bg][192 ds],endothelial cell (CL:0000115)[575 bg][174 ds],endocardial cell (CL:0002350)[289 bg][62 ds]
"8,3",plasma cell (CL:0000786)[11592 bg][1743 ds],erythroid lineage cell (CL:0000764)[8904 bg][1148 ds],CD1c-positive myeloid dendritic cell (CL:0002399)[8542 bg][1615 ds],"CD4-positive, alpha-beta memory T cell (CL:0000897)[6777 bg][1660 ds]",respiratory basal cell (CL:0002633)[3973 bg][479 ds]
"8,4",endothelial cell of artery (CL:1000413)[1472 bg][417 ds],vasa recta descending limb cell (CL:1001285)[363 bg][118 ds],endothelial cell of lymphatic vessel (CL:0002138)[312 bg][85 ds],endothelial cell of arteriole (CL:1000412)[163 bg][52 ds],peritubular capillary endothelial cell (CL:1001033)[120 bg][40 ds]
"9,0",fibroblast (CL:0000057)[1564 bg][424 ds],myofibroblast cell (CL:0000186)[1164 bg][292 ds],endothelial cell (CL:0000115)[1082 bg][219 ds],pericyte (CL:0000669)[1064 bg][325 ds],kidney interstitial fibroblast (CL:1000692)[709 bg][226 ds]
"9,1",memory B cell (CL:0000787)[28018 bg][5470 ds],naive B cell (CL:0000788)[17866 bg][3409 ds],B cell (CL:0000236)[9435 bg][1416 ds],transitional stage B cell (CL:0000818)[7635 bg][2105 ds],plasma cell (CL:0000786)[3461 bg][854 ds]
"9,2","CD4-positive, alpha-beta memory T cell (CL:0000897)[28768 bg][5546 ds]","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[24717 bg][4882 ds]",T cell (CL:0000084)[9664 bg][1863 ds],naive T cell (CL:0000898)[9392 bg][2071 ds],"CD8-positive, alpha-beta T cell (CL:0000625)[7755 bg][1466 ds]"
"9,3",memory B cell (CL:0000787)[57740 bg][8341 ds],"naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[56480 bg][7066 ds]",naive B cell (CL:0000788)[50695 bg][7800 ds],"naive thymus-derived CD8-positive, alpha-beta T cell (CL:0000900)[43242 bg][6061 ds]",CD1c-positive myeloid dendritic cell (CL:0002399)[35450 bg][7514 ds]
"9,4",pro-B cell (CL:0000826)[4012 bg][765 ds],precursor B cell (CL:0000817)[3249 bg][598 ds],naive B cell (CL:0000788)[514 bg][122 ds],memory B cell (CL:0000787)[405 bg][96 ds],transitional stage B cell (CL:0000818)[386 bg][114 ds]
"9,5",plasmacytoid dendritic cell (CL:0000784)[7482 bg][1404 ds],plasma cell (CL:0000786)[5416 bg][1290 ds],erythroid lineage cell (CL:0000764)[3766 bg][900 ds],CD1c-positive myeloid dendritic cell (CL:0002399)[3004 bg][732 ds],respiratory basal cell (CL:0002633)[1722 bg][337 ds]
