leiden_sub,cell_id,cell_label,evidence,dataset_count,shared_markers,gene_expr_markers
"11,7",CL:4033048,respiratory tract suprabasal cell,1,1,PLCG2,SFTA1P; PLCG2
"11,7",CL:0002072,nodal myocyte,1,1,PDE4D,TUBA1A; PDE4D; PTP4A3; HNRNPUL1
"11,7",CL:4047029,post-arteriole capillary cell,1,1,PHGR1,MT-ND4; FKBP5; ANPEP; PHGR1
"11,7",CL:0000178,Leydig cell,1,1,PDE4D,TSHZ2; PDE4D
"11,7",CL:1001131,vasa recta ascending limb cell,1,1,ST6GALNAC3,TLL1; ST6GALNAC3
"11,7",CL:4033044,deuterosomal cell,1,1,PTPRT,PTPRT
"11,7",CL:0000092,osteoclast,1,1,MYO1B,MYO1B
"11,7",CL:1001005,glomerular capillary endothelial cell,1,1,ST6GALNAC3,ST6GALNAC3; ENSG00000260971
"11,7",CL:0000188,cell of skeletal muscle,1,1,PLCG2,PLCG2
"11,7",CL:0002489,double negative thymocyte,1,1,PLCG2,PLCG2; CTSW
"11,7",CL:0000750,OFF-bipolar cell,1,1,ZFHX3,ZNF385D; SEMA5A; ZFHX3; PDE1A
"11,7",CL:0000155,peptic cell,1,1,PIGR,PIGR; PGA3
"11,7",CL:4033008,vein endothelial cell of respiratory system,1,1,PLCG2,ATP8A1; ZNF683; PLCG2
"13,0",CL:0002573,Schwann cell,955,755,DST; NCAM1; FRMD4A; KIAA1217; EHBP1; SORCS1; NEGR1; FRMD5; IL1RAPL1; DLC1; SCN7A; NRXN1; ZNF536; NRXN3; XKR4; CADM2; NCAM2; CHL1; SLC35F1; CDH19; ADGRL3; ADGRB3,MS4A6E; FRMD5; LRAT; FTCD; NCAM1; GINS3; CD9; DST; ANK2; ITGB8; GPC4; NEGR1; NAV2; SEMA3C; ST6GALNAC5; AC008056.1; FTL; GRIK3; ADGRG6; CNTN2; ADGRB3; KIAA1217; KCNIP4; ERBB3; ATP5IF1; CHL1; NCAM2; CADM2; ZNF536; SORCS1; NGFR; IL1RAPL2; NRXN3; DLC1; CDH19; GPC6; S100B; GPM6B; AUTS2; SCN7A; PCDH9; HMCN1; ADGRL3; PMP22; AL136298.1; PLP1; AC016766.1; KCNH8; CRYAB; CTNNA2; RBMS3; IL1RAPL1; XKR4; NKAIN3; PMP2; CYP1B1; SLC35F1; ADAMTSL1; KIRREL3; LGI4; INSC; ENSG00000237844; PTPRZ1; EHBP1; CNTNAP2; XIST; KCNMB4; EPB41L2; GRIK2; NRXN1; GAS7; PLEKHA4; ROBO2; FRMD4A
"13,0",CL:0000125,glial cell,929,819,FOXO1; FIGN; DST; ADGRB3; NCAM1; KIAA1217; SORCS1; ADGRL3; CDH19; SCN7A; ZNF536; NRXN1; NEGR1; CHL1; SLC35F1; STARD13; NCAM2; XKR4; CADM2; NRXN3; TENM3; IL1RAPL1; ANK3; FRMD5,SERINC5; ATP10B; GLDN; MFSD2A; NRP2; SERPINA5; SLC15A3; GATM; ENSG00000237844.2; GRIK3; SFRP1; PPFIBP1; ITIH5; PGGHG; PMP22; RBFOX1; KCNMB4; TOP2A; TMEM71; RASGEF1C; GFRA1; MT3; TET1; MAMLD1; TTYH1; FOXO1; SNCA; CMTM5; VEPH1; RNF213; BPGM; COL20A1; INPP5F; PLCE1; COL11A1; AC016766.1; DMD; MMADHC-DT; A2M; NOV; AC027644.3; KIF1A; TMEM132B; SHISA9; PLEKHA4; LRRC4C; LINC01748; SOX4; NR2F1; AP1S2; BCAN; TMEM176A; BRIX1; WNT6; NTRK2; ADGRL2; TSPAN11; CADM1; SMAD6; PBK; PCDH9; NGFR; SRCIN1; SIPA1L1; CYP27C1; LSAMP; EGFL8; CCL2; SLC1A3; TRPM3; MAL; PMP2; USP8; HOPX; ASPA; NDUFA4; RBP1; ENSG00000237994; SCD; SCN9A; MIA; MGAT4C; TNFRSF12A; RELN; GALNT17; NRXN1; LAMB1; PTN; SCN7A; GPR155; FRMD5; ADGRV1; EPB41L4B; NEGR1; CNR1; NCAM2; LINC01965; L1CAM; PRIMA1; GRIK2; VWA1; MPZ; FOXD3; CDH19; KIRREL3; TIA1; MEGF10; SLITRK6; SLC5A7; FBXO28; CHL1; PTPRZ1; HK1; COL8A1; PCBD2; AL139383.1; FABP7; INSC; PCSK2; SORCS1; SHC4; ABCA6; MDGA2; CADM2; C1QL1; LRRTM4; SOX10; WIPF2; XKR4; NKAIN3; PLP1; RAB10; GFRA3; WISP2; ADGRB3; GINS3; SOX2; ADAMTS9-AS2; SGSM2; SLC35F1; SPATA22; HSPB2; NRXN3; MYOT; S100B; FXYD1; ENSG00000243620; CREB5; CRYAB; ART3; ZNF536; MARCHF1; TENM3; ENSG00000237844; LRRC7; ANK3; ADGRL3; NPAS3; ALDH1A1; LGI1; NCAM1; ATXN7L2; GPM6B; LINC01198; ERBB3; HAND2-AS1; FGFBP3; HAND2; PDRG1; MAN2A1; STARD13; ADAMTS8; LAMP5; SOX6; HS3ST3A1; HMGB2; DST; ALDH1A3; SPARC; ANTXR2; LGI4; RCAN1; TUBB2B; KIAA1217; NTM; FGL2; SPP1; SEMA3C; PCDH7; PPP2R2B; CDH6; ENSG00000271860; IL1RAPL1; FIGN; VIM; LITAF; COL28A1; ENSG00000285691; CCDC50; GAS7; LIFR; NR4A2; H4C3; ERBB4; BACH2; MAP2; TMED10; FSTL5; SCG2; MCAM; ENSG00000262801; SEMA3B; PLPP1; IL1RAPL2; ITGB8; KLHL7; HIF3A; MATN2; SYCP3; FOXD3-AS1; RASSF4; TNFAIP6; FSTL3
"13,0",CL:0010020,cardiac glial cell,801,633,NEGR1; SAMHD1; DST; CDH19; SORCS1; NRXN3; CHL1; ADGRB3; SLC35F1; NRXN1; ZNF536; SCN7A; NCAM2; XKR4; CADM2; IL1RAPL1; FRMD5; ANK3,LGI4; PMEPA1; AC008056.1; ERBB3; SEMA3C; ST6GALNAC5; GFRA3; FAM182B; SCN9A; ADGRB3; PTPRZ1; DOCK5; LRRTM4; KIRREL3; TFG; GINS3; MPZ; NCAM2; CDH19; CACNA1C; TOX; SORBS2; NRXN3; RALYL; PLP1; ANK3; FRMD5; S100B; GPM6B; CADM2; ENSG00000237844; INSC; SCN7A; TRPM3; PALLD; NRXN1; ZNF536; ENSG00000258637; CHL1; PKN2-AS1; ENSG00000253295; PDZRN3; SORCS1; IL1RAPL1; PPP2R3C; APCDD1; XKR4; NKAIN3; INVS; SAMHD1; MIR6809; MIR548V; MIR4714; ZMIZ1; CA4; DST; NLGN4X; ITGB8; MAP1B; SLC35F1; TLN2; FOXD3; MAGI3; GRIK2; ABCA8; NEGR1
"13,0",CL:0000740,retinal ganglion cell,753,563,DST; FIGN; ADGRB3; BCL2; EHBP1; SAMHD1; TENM3; SORCS1; CHL1; NEGR1; NRXN1; ZNF536; SCN7A; NRXN3; SLC35F1; NCAM1; FRMD4A; XKR4; NCAM2; CADM2; ADGRL3; CDH19; ANK3; IL1RAPL1; FRMD5,CD9; GAS7; SCN1A-AS1; MT-CO1; TNPO3; TESK2; NASP; BCL2; KAZN; STMN2; HS3ST4; ZNF727; HBG2; DOK6; PSMD8; TRIM2; DLGAP1; AC010127.1; ASCL1; HDAC9; HSPA12A; PAPPA; SORCS3; SH3KBP1; AGBL4; CNTNAP2; PDK4; CYP27C1; CTNND2; FXYD1; ERBB3; CLVS1; ZNF22; TSPAN11; ZC3H18; TFAP2A; GHITM; RNPS1; SLAIN1; ENSG00000285471; WDR33; DST; GFRA3; SRCIN1; TMEM176B; IL1RAP; EPHB1; ST6GALNAC2; TUBB3; SOX13; PDE4A; SEPT7; DPP10; ERBB4; VIM; UBAP1L; PDE4D; RPL10; TRABD2B; SOX10; LRRTM4; DOCK5; SYT1; COL28A1; DLG2; KIRREL3; PDZRN4; LRRC4C; ARHGEF26; GRIA1; SORCS2; SPOCK3; TBX3; AC016766.1; CTNNA3; AC009501.1; CNTN1; LOXL3; FRMD4B; INSC; CLU; EHBP1; PPP1R9A; GAS2L3; EYS; FRMD4A; RARB; LINC01474; PTPRZ1; CHL1; GLIS3; NCAM2; CDH19; GPC6; CASC15; ADGRL3; PDE4B; GPM6B; ENSG00000266302.6; TMSB15A; ANK3; CACNA1A; GRIK2; THRB; NDRG2; ZSWIM6; ENSG00000237844; RETREG1; TENM3; ITGB4; ALK; EME1; NRXN3; CDH2; RALYL; IGFBPL1; ENSG00000285971; DPP6; PCSK2; SORCS1; MOXD1; ST6GALNAC5; ANKRD30B; ZNF536; ZSWIM5; NRXN1; ABL2; LINGO1; PDZRN3; ADAM23; PDE1C; SLC35F1; MGAT4C; PHACTR1; RDH8; AC008056.1; AC026316.5; AC019197.1; NTM; ST18; ABCA8; NEGR1; EPHA5; CADM2; PKN2-AS1; SNCA; GRID2; FRMD5; SCN7A; MACROD2; XKR4; TMPO; GNG2; NFIB; SAMHD1; GINS3; ADGRB3; CIT; TPGS1; L1CAM; PRIMA1; COL21A1; PCP4; NKAIN3; EXT1; RELN; CNTN5; TMTC2; DLX6-AS1; FHIT; MOB3B; ALDH1A1; LINC00598; USP18; ANGPTL4; SHISA9; ROBO2; PPP2R2B; TMEM132B; CKB; CRABP1; MT-ND5; KCNMB4; RBL1; TMEM178B; NR2F1; SOX4; ZFHX3; ROR1; ENSG00000264015; PTDSS2; HDAC5; NRCAM; NLGN4X; ARHGEF26-AS1; NCAM1; FSTL5; CDH13; DCC; THBS4-AS1; KCNH7; RASGEF1C; GRIK1; LINC02018; IL1RAPL2; ITGB8; CD44; ST3GAL4; CDH12; AL109930.1; CARHSP1; KCNIP4; OTOGL; ENSG00000258637; LGI4; AGAP1; PLCE1; PHLPP1; SPP1; LMCD1-AS1; IL1RAPL1; FIGN; PLP1; GPX3; PTPRG; DPYSL3; VIPR2; XIST; U91319.1
"13,0",CL:0000897,"CD4-positive, alpha-beta memory T cell",743,691,DST; FOXO1; NCAM2; SAMHD1; BCL2; ANK3,SYTL2; RARRES3; CD7; ADGRL2; AOAH; PGAP1; ARID5B; RHOH; PYHIN1; PRDM1; ENSG00000287070; CD226; PRKCQ-AS1; DST; HMGB2; LDHB; AC139720.1; TIMP1; DUSP16; MAF; NPDC1; SMAD7; TGFBR3; COL4A1; KLRG1; LEPROTL1; SEC61B; ITGA1; NCF1; KLF2; GZMK; SLAMF1; SHISAL2A; TOB1; ERN1; GATA3; NOSIP; COX6C; BICDL1; UQCRB; TNFSF8; AC058791.1; TNFRSF25; AHNAK; CDC14A; PDE3B; CYTIP; LMNA; SUSD3; CD6; ANXA1; P2RY8; FAAH2; RORA-AS1; FKBP5; IGHG1; SAMD3; EPHA4; LEF1; SAMHD1; CCL5; PATJ; HERC5; FOXO1; SPOCK2; ZNF331; CD3D; GRAP2; TRBC2; ZBTB16; TC2N; S100A4; CRIP2; RNF19A; BCL2; OGA; ANK3; CD52; PRKCA; GPR171; TSHZ2; CD5; AP3M2; CXCR6; TNFRSF4; BCL11B; SAMSN1; ICOS; PCAT1; TRAT1; CBX7; NAA16; C15orf53; FMN1; PIK3IP1; LRIG1; SFMBT1; CSGALNACT2; PBX4; NELL2; RGCC; INPP4B; TNFAIP3; TTC39C; TCF7; THEMIS; SERINC5; CD96; CD40LG; SOCS3; A2M; ZAP70; IL6ST; ZNF831; CD69; EIF3M; IFNG-AS1; LINC01934; CMTM8; IL32; ADAM19; RSAD2; SCML4; TRAC; CLDND1; PLCL1; TRADD; MAL; GOLGA7; ITM2A; ST8SIA1; ZNF461; FHIT; TRBC1; CSGALNACT1; CD3G; DPP4; GSTK1; CCR6; FLT3LG; PASK; PPP2R2B; SNED1; GPR183; IL7R; SESN3; LINC00513; ALOX5AP; CRIP1; RORA; RCAN3; PRKCQ; STAT4; CNOT6L; ITK; AQP3; CXCR4; SH3BGRL3; NCAM2; RASGRF2; BIRC3; MPZL3; PARP8; BTBD11; CAMK4; SLC2A3; PRR5; EML4; CATSPERB; TRABD2A; TENT5C; ANKRD28; CD3E; HNRNPLL; FAM129A; FKBP11; PITPNC1; TMEM116; LTB; KLRB1; SYNE2; CD2; GPRIN3; DTHD1; ARL4A; PLCB1; CD28; ZFP36L2; GZMA; ACVR2A; EVA1C; EMB
"13,0",CL:0000057,fibroblast,712,504,FIGN; CHL1; TENM3; NEGR1; DST; SCN7A; ZNF536; NRXN3; ADGRL3; CDH19; FRMD5; DLC1; IL1RAPL1; ANK3; FRMD4A; NCAM1; XKR4; NCAM2; CADM2; ADGRB3,MGST1; MYH11; FILIP1; CRISPLD2; PDE1A; PTN; DZIP1; COL12A1; GOLGB1; PLA2G4A; MSRB3; FBN1; FIBIN; COPS8; FREM1; ADGRB3; MEG3; ITGBL1; NBL1; GRHL2; SDK1; ADAMTS13; EBF2; LSAMP; CADM2; ADAMTS12; SVEP1; FBLN1; C7; CCBE1; TBX20; DPT; NRXN3; FGF14; SUPT4H1; ROR2; ZNF536; LUM; NCAM1; NOX4; DLK1; IL1RAPL1; FIGN; CEMIP; ADAMTS19; ATP6AP2; TMEM108; ABCA10; LINC02388; DCN; GPC3; UNC5C; TSHZ2; PIEZO2; LINC00924; COL5A1; NTM; ABCA6; CCN2; ATRNL1; NCAM2; CDH19; DLC1; ABCA9; DST; LAMA2; CFH; COL1A2; BICC1; FRMD5; GRID2; FRMD4A; HTRA3; SNED1; ROBO2; GFRA1; ADH1B; RORA; PDGFRB; DNPH1; CCDC80; THBS2; PLAGL1; FGF7; ABCA9-AS1; SLIT2; SMOC2; LRFN5; BMP5; COL4A4; ABCA8; LTBP2; PRKG1; ARL5A; SCN7A; SERPINE1; ACSM3; AGBL1; XKR4; THSD7B; CDH11; ADGRD1; LINC00504; APOD; COL8A1; POSTN; NAV3; BNC2; TENM3; TWIST2; MAMDC2; SGCD; PDGFRA; COL6A3; ITGA8; NEGR1; MRC2; GEM; SLIT3; FBLN5; AC020637.1; DCLK1; PTGDS; PID1; FOXP2; PTGIS; MFAP4; MAPK10; LAMB1; VIT; ABI3BP; ADGRL3; GRIK4; CHL1; PCDH11X; NOVA1; COL3A1; FMO2; BGN; NRK; EPHA6; SERPINF1; RIPOR3; ANK3; GUCY1A2; TLN2; COL15A1; COMP
"13,0",CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",664,655,NCAM2; CADM2; DST; IL1RAPL1; NRXN3; FOXO1; BCL2; KIAA1217; SAMHD1; ANK3,FKBP5; STMN1; CDK17; TBC1D10C; LINC00861; AGO2; CLSTN1; GLYR1; PYHIN1; ARMH3; FYN; IL1RAPL1; RAPGEF6; PDE4D; PTPRD; CELF2; CHMP7; FBXO32; PCED1B; CHRM3-AS2; MPHOSPH8; KAT6A; RETREG1; NDUFA12; DOCK9; AC010609.1; OGDH; PSIP1; ABTB3; RHOH; CNOT6L; STAT4; MACF1; P2RY8; GPR183; RB1CC1; KLF12; SLC38A1; DENND4A; ZNF831; CD69; AL109930.1; CDC42SE2; ADTRP; CCR6; CD3D; TRERF1; SCML4; TRAC; FYB1; TRBC1; SLFN12L; RNF19A; HIVEP2; SORL1; CSGALNACT1; CD3G; CORO1B; N4BP2L2; DST; AAK1; ENSG00000249806; RGS10; CD28; LEPROTL1; ABLIM1; TNIK; SPOCK2; BACH2; IPCEF1; CDC14A; MAML2; LBH; MAL; FOXP1; CRYBG1; ATM; NOSIP; BICDL1; BIN2; SERINC5; CD96; TSHZ2; PDE3B; FOXO1; MPP7; BIRC3; SLC35H1; FHIT; ST8SIA1; GCC2; PRKCQ-AS1; CD226; CCR7; BCL11B; CD3E; LDLRAD4; BCL2; ETS1; LRRN3; SNHG8; SARAF; LDLRAP1; C15orf53; CMTM8; HDAC7; NDUFS8; PIK3IP1; FAAH2; S1PR1; ITGA6; LINC01891; EPB41; LRBA; INPP4B; NELL2; NCAM2; STMN3; SAMHD1; LEF1; IL7R; SESN3; CLEC2D; STAT1; ANK3; SKAP1; SLAMF6; GYPC; IL6ST; TESPA1; CD7; PNRC1; PRKN; KLF2; TMC8; ENSG00000268027; ANXA1; ITK; RCAN3; LDHB; TRABD2A; SELL; GIMAP7; IVNS1ABP; RIPOR2; CDH13; CD6; PPP1R35; KIF2A; NRXN3; TXNIP; PLCL1; SC5D; AKT3; KIAA1217; BTBD11; GPRIN3; CCDC102B; CD2; ARGLU1; TCF7; THEMIS; TXK; PIM1; AP000787.1; APBA2; PRKCA; BIRC6; CD247; SCML1; CAMK4; SLC2A3; C12orf57; TRMO; ABCC1; NDFIP1; MCUB; TRAT1; PAG1; PTPRCAP; TTC39C; AREG; GNAQ; CDC42EP3; AP3M2; IKZF1; IGF1R; ICOS; PPP1R16B; EPSTI1; STAT3; JAML; TTC33; TRBC2; TC2N; LTB; CADM2; SYNE2
