leiden_sub,cell_id,cell_label,evidence,dataset_count,shared_markers,gene_expr_markers
"0,0",CL:4023017,sst GABAergic interneuron,57,19,BICD1; DMD; NRG3; KIAA1217; ZFPM2; NPAS3; PTPRM,BICD1; TCF4; RUNX1T1; ADGRL3; SATB1-AS1; MGAT4C; TSHZ3; CNTNAP2; LINC01322; QKI; TRHDE; SORCS1; TRPM3; GRIK1; PRKG1; SYNPR; CSMD1; WLS; NLGN1; PLEKHA5; CTNND2; SOX6; SPOCK3; NRXN3; PTPRT; MAGI1; NPAS3; SHISA6; RBMS3; KLHL5; PDE1A; SLC6A1; HS3ST4; NXPH1; GRIN3A; TANC2; GRIK2; GAD1; DMD; STXBP6; ZNF385D; GRM5; NEGR1; NETO1; KIAA1217; ZFPM2; ASTN2; PAM; PTPRM; NRG3; GRIK3; TLE4; KHDRBS3; KAZN; CACNA2D3; XKR4; GRIA1
"0,0",CL:0000499,stromal cell,53,17,ADGRL2; MEIS1; BNC2; PTPRM; KIAA1217; RBPMS; LAMA2; RORA; DMD; SOX5,CNTN4; TCF4; SLIT2; COL3A1; BNC2; REPS2; NID1; ADH1B; ADAMTS9-AS2; MAML2; GRK5; PTPRM; AFF3; DMD; NRG1; CRISPLD2; TSHZ2; LAMB1; PARD3; ADGRL3; ENSG00000282278.1; MALAT1; COL5A2; PLCB4; LAMC1; PRR16; PRKG1; BICC1; GRIK1; DLC1; GPC6; HPSE2; RORA; PID1; ENSG00000283563.1; PLCB1; FBXL7; SOX5; COL6A3; NEAT1; LAMA2; NRXN3; CALD1; GRIK2; SVEP1; CDH11; RBMS3; NUTM2B-AS1; DNM3; ADGRL2; KIAA1217; ANKS1B; MEIS1; NEGR1; RBPMS; PCDH9
"0,0",CL:0000077,mesothelial cell,52,17,UBE2D2; MACROD2; SOX5; LRMDA; OXR1; MPPED2; RBPMS; PCDH7; RORA; BNC2; DMD; ZFPM2; NPAS3; BMPR1B; ESR1; PKHD1L1; PTPRM; NRG3; KIAA1217; AUTS2,KCNIP4; OXR1; ADAMTS9-AS2; RHEX; BCL2; EPB41L4A; PDE4D; PPFIBP1; FANCC; DOCK3; PLA2G2A; PTPRQ; ITLN1; HIF1A-AS2; BICC1; TMOD1; ACKR3; NFIA; PLEKHA6; AFAP1L1; EYA2; AC024230.1; ACSM3; MACROD2; CTNNA2; PARD3; SH3RF2; PLCB1; NBEA; MYO1B; DMD; SULF1; LRMDA; AUTS2; GRID2; CUX1; SIPA1L1; LSAMP; MT-CO1; MAGI2; LPAR1; FOS; SORCS1; RBPMS; NCKAP5; DIAPH2; UBE2D2; PTH2R; PTPRD; RBFOX1; NPAS3; CDK14; AC016831.7; NR2F2-AS1; PARD3B; DUSP1; GNAL; MPPED2; SYNE2; CACNB2; EZR; DPP6; KIAA1217; BMPR1B; SLIT3; KCNMA1; ENSG00000283674; MT-CYB; FOSB; EFNA5; PKHD1L1; PTPRM; MEIS2; CADPS2; RORA; ATF3; DAPK1; GPC6; L3MBTL4; AP000561.1; PRG4; SOX5; KCNT2; TENM4; ROBO1; ESR1; ENSG00000226043; XKR4; KLF6; PCDH7; BNC2; TENM3; DCLK1; CSMD1; RBMS3; TTC28; C3; MALAT1; CYSTM1; PLD1; NEAT1; MT-CO3; LAMA4; SYNE1; SLC4A4; FP671120.1; ZFPM2; MYO6; CACNA2D3; RNF219-AS1; NRG3
"0,0",CL:0000066,epithelial cell,46,15,LAMA2; NRG3; SOX5; RORA; NPAS3; ERBB4; KIAA1217; ESR1; TRPS1; ADAM28; PCDH7; BICD1; UBE2D2; LRMDA,RYR3; TPD52L1; ZHX3; QKI; ARAP2; ROR1; LAMA2; NEAT1; GPM6A; LRMDA; NAV2; RFX2; NEBL; KIAA1217; SOX6; CNTN1; PAX8; ERBB4; NPAS3; COL21A1; MT-ND3; MACF1; ADAM28; GFAP; PARD3; TRPS1; PITPNC1; KIF12; DOCK7; ADCY2; NCAM2; NRG3; DPP10; DTNA; PRKG1; TSHZ2; FMN2; ENSG00000243620; LSAMP; CTNNA2; KAZN; BICD1; ABCA1; EYA2; STX18; ELF3; MSI2; SOX5; RERE; LINC01541; ESR1; ATP1A2; SORBS1; PLCE1; HIF3A; ARHGEF4; CTNND2; UBE2D2; FZD6; PCDH7; THSD4; MAPK10; TRPM3; MECOM; RHEX; MT-CO3; PLCB1; ABLIM1; TNIK; RORA; MIR99AHG; ITGB4
"0,0",CL:1000716,kidney outer medulla collecting duct principal cell,45,15,TRPS1; NPAS3; ERBB4; MPPED2; FYB2; PCDH7; RBPMS; BMPR1B; SOX5,MALAT1; PKHD1; PCDH7; SDK1; MYO6; UTRN; PAPPA; LINC01924; TOX3; RALYL; CREM; MOB1B; ATP1B3; ENSG00000225885; PWRN1; TMTC2; EYA4; FOXP1; PDE4D; PRKAG2; NAALADL2; FYB2; ERC1; PLCL2; SLC25A29; SOX5; LINC02532; DLG2; RBPMS; GRIP1; TRPS1; C11orf80; ANK3; BMPR1B; NPAS3; TOX; AC019197.1; NCALD; SCNN1G; MPPED2; KAZN; SLC38A1; ERBB4; SLIT2; MECOM; CADPS2; PIK3C2G; COBLL1; TRPM3; ATP1B1; NFAT5; CCSER1; ST6GAL1; TOP6BL; ENSG00000236283
"0,0",CL:0002350,endocardial cell,45,13,BMPR1B; AUTS2; NRG3; IL1R1; PCDH7; PKHD1L1,SHANK3; PECAM1; PPM1H; BMPR1B; AKT3; ACTN1; ERG; CALCRL; TMEM108; NOSTRIN; ADAMTSL1; NRG1; TMOD1; HIF3A; CDC42BPB; MGP; HSPG2; LDB2; ARHGAP26; FRMD4B; LINC02147; PCDH15; PITPNC1; ST6GALNAC3; BMPER; QSOX1; PIK3C2A; PKHD1L1; CEMIP2; NRG3; VWF; BACE2; EXOC4; CDH11; LRIG3; PCDH7; IL1R1; EMCN; INHBA; NPR3; NFIB; GMDS; TMEM132C; NCOA7; SMOC1; CGNL1; MYRIP; PLA2G5; ENG; LINC02388; TIMP1; CD9; POSTN; AUTS2
"0,0",CL:1000452,parietal epithelial cell,43,14,RORA; LRMDA; AUTS2; BICD1; OXR1; ZFPM2; BNC2; IL1R1; NRG3,SYT1-AS1; RORA; RBMS3; RHEX; ITGB8; NUMB; PTPRG; DLGAP1; IL1R1; FBXL7; IGFBP7; PAWR; NRG3; CASC15; ARHGAP10; KIF26B; ENTREP2; RBBP8; TSHZ2; UBE2E2; AUTS2; OXR1; BNC2; LINC01435; PARD3; PDE4D; LRMDA; ITGB3; KCNT2; ALPK2; SDK1; BICC1; FIGN; FRMD4A; RBFOX1; DCDC2; CTTNBP2; TENM3; UGCG; BICD1; TPM1; SYNE1; PDE1A; OSBPL10; CFH; EDIL3; MALAT1; ZBTB20; ZFPM2; RERG; BCAM; ALDH1A2
"0,0",CL:0019001,tracheobronchial serous cell,39,13,DMD; AUTS2; BMPR1B; ERBB4; KIAA1217; RBPMS; MACROD2,PTPRK; SAMD12; GPC5; ALCAM; RBM47; ACOXL; AUTS2; TTN; CLIC6; CCND3; PTPRG; ELF3; DMD; HNMT; ERBB4; MALAT1; INSR; MECOM; RBPMS; TMC5; ITGA9; NEDD4L; LDLR; CYB5A; GRHL1; KIAA1217; RAD51B; SCGB1A1; SFTPB; MTUS1; MET; SCGB3A1; CYP2B7P; PTPRD; SCGB3A2; MGST1; MAST4; NCKAP5; MAGI3; NTN1; MACROD2; CDK14; BMPR1B
"0,0",CL:0000786,plasma cell,39,12,AUTS2; ZFPM2; MACROD2; DMD; SOX5,ROBO1; SGCD; LSAMP; RABGAP1L; PRKG1; AFF3; FRMD4A; AUTS2; DPP10; ANKS1B; DAB1; PCDH9; RAD51B; CSMD1; ZFPM2; DMD; ADCY2; SNX29; PTPRD; SOX5; ZFHX3; MACROD2; CNTNAP2; GALNTL6
"0,0",CL:0008019,mesenchymal cell,34,11,BMPR1B; RORA; LAMA2; ADGRL2; BNC2; ZFPM2; MEIS1; KIAA1217; DMD; SOX5,ADAMTS9; PDE3A; MEG3; PTH1R; BNC2; ABL2; LSM14A; JMJD1C; RORA; PI4KA; NR2F1-AS1; RBMS3-AS2; THBS1; LAMC3; CCBE1; STARD13; PDE4D; MOXD1; HAND2-AS1; MEIS1; MEIS2; ADAMTS2; RBMS3; SYT1; COL14A1; ADAMTSL1; LAMA2; MALAT1; FBLN5; CALD1; DMD; ADGRL2; KIAA1217; ZFPM2; COL6A1; SOX5; DACH1; PRKG1; ADAMTS12; NR2F2-AS1; GRK5; BMPR1B; ANK3; LTBP1; ARHGAP10; RASAL2; C7; ANKS1A; KCNQ1OT1; KLF9; CHSY3; ADAMTS9-AS2; PID1; IGFBP7; PDE1A
