leiden_sub,hra_pop_nsforest_1,hra_pop_nsforest_2,hra_pop_nsforest_3,hra_pop_nsforest_4,hra_pop_nsforest_5
"17,0","CD4-positive, alpha-beta memory T cell (CL:0000897)[2601 bg][1907 ds]",renal beta-intercalated cell (CL:0002201)[1650 bg][845 ds],"naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[1490 bg][1292 ds]",sst GABAergic interneuron (CL:4023017)[515 bg][482 ds],"CD4-positive, alpha-beta cytotoxic T cell (CL:0000934)[326 bg][326 ds]"
"17,1","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[5536 bg][4308 ds]","naive thymus-derived CD8-positive, alpha-beta T cell (CL:0000900)[1287 bg][1157 ds]",CD141-positive myeloid dendritic cell (CL:0002394)[742 bg][685 ds],"CD4-positive, alpha-beta memory T cell (CL:0000897)[572 bg][533 ds]",kidney cortex collecting duct intercalated cell (CL:1000715)[389 bg][341 ds]
"17,2",memory B cell (CL:0000787)[510 bg][462 ds],basal cell (CL:0000646)[384 bg][237 ds],"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell (CL:0000935)[327 bg][327 ds]",plasma cell (CL:0000786)[293 bg][202 ds],erythroblast (CL:0000765)[243 bg][145 ds]
"17,3",caudal ganglionic eminence derived interneuron (CL:4023064)[1367 bg][1181 ds],mast cell (CL:0000097)[721 bg][481 ds],innate lymphoid cell (CL:0001065)[667 bg][645 ds],renal alpha-intercalated cell (CL:0005011)[587 bg][577 ds],kidney cortex collecting duct intercalated cell (CL:1000715)[456 bg][433 ds]
"18,0",adipocyte (CL:0000136)[580 bg][369 ds],plasmacytoid dendritic cell (CL:0000784)[526 bg][444 ds],regular atrial cardiac myocyte (CL:0002129)[186 bg][139 ds],pericyte (CL:0000669)[180 bg][171 ds],endothelial cell (CL:0000115)[114 bg][113 ds]
"18,1",macrophage (CL:0000235)[7907 bg][5049 ds],inflammatory macrophage (CL:0000863)[1218 bg][1117 ds],lung interstitial macrophage (CL:4033043)[927 bg][632 ds],microglial cell (CL:0000129)[712 bg][641 ds],alternatively activated macrophage (CL:0000890)[581 bg][473 ds]
"19,0","CD4-positive, alpha-beta memory T cell (CL:0000897)[2687 bg][1936 ds]","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[2684 bg][2213 ds]",endothelial cell of artery (CL:1000413)[909 bg][886 ds],memory B cell (CL:0000787)[610 bg][552 ds],"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell (CL:0000935)[334 bg][333 ds]"
"19,1",epithelial cell of proximal tubule (CL:0002306)[771 bg][586 ds],epithelial cell of proximal tubule segment 1 (CL:4030009)[534 bg][470 ds],kidney loop of Henle long descending thin limb outer medulla epithelial cell (CL:4030013)[231 bg][213 ds],epithelial cell of proximal tubule segment 3 (CL:4030011)[203 bg][167 ds],epithelial cell of proximal tubule segment 2 (CL:4030010)[168 bg][130 ds]
"19,2","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[1270 bg][1088 ds]",epithelial cell of proximal tubule segment 3 (CL:4030011)[348 bg][254 ds],epithelial cell of proximal tubule (CL:0002306)[338 bg][285 ds],kidney loop of Henle long descending thin limb outer medulla epithelial cell (CL:4030013)[216 bg][193 ds],cholangiocyte (CL:1000488)[178 bg][161 ds]
"19,3","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[1853 bg][1424 ds]",mature NK T cell (CL:0000814)[520 bg][520 ds],parietal epithelial cell (CL:1000452)[485 bg][408 ds],vein endothelial cell (CL:0002543)[475 bg][398 ds],fibroblast (CL:0000057)[348 bg][295 ds]
"19,4",podocyte (CL:0000653)[1563 bg][843 ds],endothelial cell of artery (CL:1000413)[389 bg][384 ds],capillary endothelial cell (CL:0002144)[278 bg][272 ds],"CD4-positive, alpha-beta memory T cell (CL:0000897)[139 bg][139 ds]",pulmonary alveolar type 1 cell (CL:0002062)[139 bg][117 ds]
"2,0","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[1938 bg][1496 ds]",vein endothelial cell (CL:0002543)[1452 bg][1302 ds],capillary endothelial cell (CL:0002144)[1449 bg][1415 ds],memory B cell (CL:0000787)[670 bg][570 ds],endothelial cell (CL:0000115)[627 bg][561 ds]
"2,1",endothelial cell of artery (CL:1000413)[6420 bg][4176 ds],pulmonary artery endothelial cell (CL:1001568)[580 bg][491 ds],endothelial cell (CL:0000115)[362 bg][352 ds],capillary endothelial cell (CL:0002144)[360 bg][347 ds],vasa recta descending limb cell (CL:1001285)[276 bg][238 ds]
"2,2","CD4-positive, alpha-beta memory T cell (CL:0000897)[10747 bg][8113 ds]",capillary endothelial cell (CL:0002144)[4401 bg][2653 ds],"naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[4046 bg][3775 ds]","CD4-positive, alpha-beta T cell (CL:0000624)[1546 bg][1305 ds]","effector CD4-positive, alpha-beta T cell (CL:0001044)[1143 bg][1140 ds]"
"2,3",endocardial cell (CL:0002350)[1824 bg][697 ds],endothelial cell of lymphatic vessel (CL:0002138)[913 bg][750 ds],memory B cell (CL:0000787)[668 bg][569 ds],vein endothelial cell (CL:0002543)[429 bg][394 ds],basal cell (CL:0000646)[401 bg][238 ds]
"2,4",pulmonary alveolar type 2 cell (CL:0002063)[1065 bg][622 ds],capillary endothelial cell (CL:0002144)[957 bg][821 ds],endothelial cell of artery (CL:1000413)[793 bg][774 ds],naive B cell (CL:0000788)[791 bg][755 ds],alveolar capillary type 2 endothelial cell (CL:4028003)[789 bg][383 ds]
"20,0",pericyte (CL:0000669)[1186 bg][928 ds],regular ventricular cardiac myocyte (CL:0002131)[408 bg][305 ds],"naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[353 bg][342 ds]",endocardial cell (CL:0002350)[302 bg][140 ds],capillary endothelial cell (CL:0002144)[277 bg][262 ds]
"20,1","CD4-positive, alpha-beta memory T cell (CL:0000897)[1026 bg][948 ds]",regular ventricular cardiac myocyte (CL:0002131)[131 bg][111 ds],"CD4-positive, alpha-beta cytotoxic T cell (CL:0000934)[111 bg][111 ds]",regular atrial cardiac myocyte (CL:0002129)[94 bg][80 ds],"CD4-positive, CD25-positive, alpha-beta regulatory T cell (CL:0000792)[87 bg][87 ds]"
"20,2",naive B cell (CL:0000788)[763 bg][728 ds],regular atrial cardiac myocyte (CL:0002129)[413 bg][265 ds],pulmonary alveolar type 2 cell (CL:0002063)[196 bg][140 ds],pericyte (CL:0000669)[194 bg][182 ds],VIP GABAergic interneuron (CL:4023016)[161 bg][158 ds]
"21,0",memory B cell (CL:0000787)[118 bg][111 ds],mucosal-associated invariant T cell (CL:0000940)[96 bg][88 ds],plasma cell (CL:0000786)[53 bg][53 ds],alpha-beta T cell (CL:0000789)[50 bg][50 ds],amacrine cell (CL:0000561)[48 bg][48 ds]
"21,1","CD14-low, CD16-positive monocyte (CL:0002396)[2308 bg][2142 ds]",monocyte (CL:0000576)[1895 bg][1826 ds],endothelial cell of artery (CL:1000413)[603 bg][534 ds],sst GABAergic interneuron (CL:4023017)[459 bg][459 ds],basal cell (CL:0000646)[412 bg][246 ds]
"3,0",macrophage (CL:0000235)[10303 bg][6311 ds],lung interstitial macrophage (CL:4033043)[1369 bg][755 ds],inflammatory macrophage (CL:0000863)[1029 bg][960 ds],alternatively activated macrophage (CL:0000890)[720 bg][559 ds],Hofbauer cell (CL:3000001)[713 bg][595 ds]
"3,1",inflammatory macrophage (CL:0000863)[1063 bg][989 ds],macrophage (CL:0000235)[969 bg][885 ds],lung macrophage (CL:1001603)[459 bg][365 ds],alveolar macrophage (CL:0000583)[458 bg][419 ds],microglial cell (CL:0000129)[294 bg][274 ds]
"3,2",CD14-positive monocyte (CL:0001054)[2905 bg][2869 ds],macrophage (CL:0000235)[2424 bg][2109 ds],"CD14-positive, CD16-negative classical monocyte (CL:0002057)[1218 bg][1203 ds]",classical monocyte (CL:0000860)[1077 bg][966 ds],CD1c-positive myeloid dendritic cell (CL:0002399)[1028 bg][869 ds]
"3,3",fibroblast (CL:0000057)[5179 bg][3943 ds],memory B cell (CL:0000787)[761 bg][627 ds],myofibroblast cell (CL:0000186)[527 bg][486 ds],mucosal-associated invariant T cell (CL:0000940)[457 bg][424 ds],"CD4-positive, alpha-beta memory T cell (CL:0000897)[420 bg][415 ds]"
"3,4",CD1c-positive myeloid dendritic cell (CL:0002399)[7092 bg][5185 ds],memory B cell (CL:0000787)[2099 bg][1601 ds],naive B cell (CL:0000788)[1588 bg][1390 ds],CD141-positive myeloid dendritic cell (CL:0002394)[1157 bg][1014 ds],dendritic cell (CL:0000451)[760 bg][631 ds]
"3,5",basal cell (CL:0000646)[370 bg][223 ds],plasma cell (CL:0000786)[292 bg][202 ds],erythroblast (CL:0000765)[253 bg][154 ds],pyramidal neuron (CL:0000598)[162 bg][108 ds],"naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[128 bg][111 ds]"
"3,6",CD14-positive monocyte (CL:0001054)[9776 bg][8091 ds],"CD14-positive, CD16-negative classical monocyte (CL:0002057)[5491 bg][4219 ds]",neutrophil (CL:0000775)[2864 bg][2147 ds],classical monocyte (CL:0000860)[2272 bg][1829 ds],monocyte (CL:0000576)[1288 bg][1146 ds]
"3,7",CD14-positive monocyte (CL:0001054)[4301 bg][4008 ds],classical monocyte (CL:0000860)[2615 bg][2442 ds],"CD14-positive, CD16-negative classical monocyte (CL:0002057)[1515 bg][1485 ds]",monocyte (CL:0000576)[1005 bg][958 ds],CD1c-positive myeloid dendritic cell (CL:0002399)[899 bg][859 ds]
"3,8",monocyte (CL:0000576)[830 bg][822 ds],alveolar macrophage (CL:0000583)[825 bg][506 ds],inflammatory macrophage (CL:0000863)[782 bg][736 ds],"CD14-low, CD16-positive monocyte (CL:0002396)[665 bg][661 ds]",macrophage (CL:0000235)[462 bg][411 ds]
"4,0",vascular associated smooth muscle cell (CL:0000359)[2872 bg][2391 ds],smooth muscle cell (CL:0000192)[1174 bg][1041 ds],myofibroblast cell (CL:0000186)[747 bg][607 ds],pericyte (CL:0000669)[405 bg][396 ds],mast cell (CL:0000097)[344 bg][285 ds]
"4,1",vascular associated smooth muscle cell (CL:0000359)[5165 bg][3590 ds],smooth muscle cell (CL:0000192)[1755 bg][1230 ds],pericyte (CL:0000669)[1404 bg][1221 ds],myofibroblast cell (CL:0000186)[608 bg][502 ds],renal interstitial pericyte (CL:1001318)[595 bg][489 ds]
"4,2",pericyte (CL:0000669)[6690 bg][4442 ds],memory B cell (CL:0000787)[667 bg][568 ds],capillary endothelial cell (CL:0002144)[291 bg][274 ds],vascular associated smooth muscle cell (CL:0000359)[246 bg][227 ds],renal interstitial pericyte (CL:1001318)[201 bg][193 ds]
"5,0",fibroblast (CL:0000057)[2123 bg][1414 ds],endothelial cell of artery (CL:1000413)[877 bg][856 ds],memory B cell (CL:0000787)[673 bg][574 ds],glial cell (CL:0000125)[348 bg][346 ds],basal cell (CL:0000646)[311 bg][215 ds]
"5,1","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[203 bg][167 ds]","naive thymus-derived CD8-positive, alpha-beta T cell (CL:0000900)[68 bg][55 ds]",plasma cell (CL:0000786)[48 bg][44 ds],alpha-beta T cell (CL:0000789)[46 bg][40 ds],hematopoietic stem cell (CL:0000037)[38 bg][33 ds]
"5,2","CD4-positive, alpha-beta memory T cell (CL:0000897)[2268 bg][1594 ds]",naive B cell (CL:0000788)[741 bg][708 ds],"naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[430 bg][412 ds]",fibroblast (CL:0000057)[332 bg][314 ds],naive T cell (CL:0000898)[277 bg][267 ds]
"6,0","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[196 bg][168 ds]",plasma cell (CL:0000786)[109 bg][101 ds],erythroblast (CL:0000765)[69 bg][64 ds],"naive thymus-derived CD8-positive, alpha-beta T cell (CL:0000900)[64 bg][53 ds]",basal cell (CL:0000646)[62 bg][57 ds]
"6,1","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[1245 bg][1061 ds]",monocyte (CL:0000576)[674 bg][672 ds],"CD14-low, CD16-positive monocyte (CL:0002396)[499 bg][499 ds]",CD1c-positive myeloid dendritic cell (CL:0002399)[151 bg][145 ds],transitional stage B cell (CL:0000818)[144 bg][144 ds]
"6,2","CD16-positive, CD56-dim natural killer cell, human (CL:0000939)[11818 bg][9068 ds]",mature NK T cell (CL:0000814)[7522 bg][5853 ds],natural killer cell (CL:0000623)[6755 bg][5032 ds],"CD16-negative, CD56-bright natural killer cell, human (CL:0000938)[6646 bg][5411 ds]","CD8-positive, alpha-beta memory T cell (CL:0000909)[5476 bg][4801 ds]"
"6,3",granzyme K-associated CD8 T cell (CL:4052021)[4607 bg][4352 ds],"CD8-positive, alpha-beta memory T cell (CL:0000909)[4091 bg][3611 ds]","CD4-positive, alpha-beta memory T cell (CL:0000897)[3216 bg][2747 ds]","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[2460 bg][2213 ds]","CD8-positive, alpha-beta T cell (CL:0000625)[2310 bg][1986 ds]"
"6,4","CD4-positive, alpha-beta memory T cell (CL:0000897)[17231 bg][10712 ds]","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[9560 bg][7160 ds]",naive T cell (CL:0000898)[2622 bg][1744 ds],T cell (CL:0000084)[2420 bg][2011 ds],"CD4-positive, alpha-beta T cell (CL:0000624)[2311 bg][1618 ds]"
"6,5","CD4-positive, CD25-positive, alpha-beta regulatory T cell (CL:0000792)[7981 bg][6433 ds]",regulatory T cell (CL:0000815)[3352 bg][2627 ds],"CD4-positive, alpha-beta memory T cell (CL:0000897)[1557 bg][1417 ds]","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[995 bg][959 ds]",T follicular helper cell (CL:0002038)[964 bg][907 ds]
"7,0",fibroblast (CL:0000057)[530 bg][477 ds],"CD4-positive, CD25-positive, alpha-beta regulatory T cell (CL:0000792)[439 bg][439 ds]",endocardial cell (CL:0002350)[301 bg][139 ds],myofibroblast cell (CL:0000186)[250 bg][243 ds],macrophage (CL:0000235)[223 bg][215 ds]
"7,1",deuterosomal cell (CL:4033044)[344 bg][224 ds],epithelial cell (CL:0000066)[116 bg][116 ds],CD141-positive myeloid dendritic cell (CL:0002394)[112 bg][107 ds],epithelial cell of proximal tubule segment 2 (CL:4030010)[69 bg][69 ds],alpha-beta T cell (CL:0000789)[68 bg][68 ds]
"7,2",pulmonary alveolar type 2 cell (CL:0002063)[1065 bg][625 ds],"CD4-positive, alpha-beta memory T cell (CL:0000897)[700 bg][650 ds]","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[639 bg][628 ds]",memory B cell (CL:0000787)[567 bg][549 ds],transitional stage B cell (CL:0000818)[552 bg][552 ds]
"8,0",endothelial cell of artery (CL:1000413)[911 bg][886 ds],"CD4-positive, alpha-beta memory T cell (CL:0000897)[719 bg][668 ds]",fibroblast (CL:0000057)[603 bg][525 ds],"naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[582 bg][576 ds]",myofibroblast cell (CL:0000186)[228 bg][224 ds]
"8,1",pulmonary alveolar type 2 cell (CL:0002063)[1059 bg][620 ds],endothelial cell of lymphatic vessel (CL:0002138)[694 bg][565 ds],club cell (CL:0000158)[423 bg][356 ds],vein endothelial cell (CL:0002543)[382 bg][363 ds],intestine goblet cell (CL:0019031)[328 bg][327 ds]
"8,2",endothelial cell of lymphatic vessel (CL:0002138)[1992 bg][1477 ds],vein endothelial cell (CL:0002543)[1060 bg][986 ds],neuron (CL:0000540)[569 bg][564 ds],capillary endothelial cell (CL:0002144)[375 bg][360 ds],endothelial cell (CL:0000115)[345 bg][320 ds]
"8,3",endothelial cell of lymphatic vessel (CL:0002138)[3729 bg][2623 ds],basal cell (CL:0000646)[502 bg][286 ds],endothelial cell of respiratory system lymphatic vessel (CL:0009086)[447 bg][447 ds],plasma cell (CL:0000786)[397 bg][248 ds],erythroblast (CL:0000765)[329 bg][197 ds]
"8,4",endothelial cell of artery (CL:1000413)[1071 bg][989 ds],endothelial cell of lymphatic vessel (CL:0002138)[635 bg][553 ds],epithelial cell of distal tubule (CL:0002305)[294 bg][294 ds],vein endothelial cell (CL:0002543)[234 bg][211 ds],"CD4-positive, CD25-positive, alpha-beta regulatory T cell (CL:0000792)[197 bg][195 ds]"
