leiden_sub,asctb_1,asctb_2,asctb_3,asctb_4,asctb_5,asctb_refs_1,asctb_refs_2,asctb_refs_3,asctb_refs_4,asctb_refs_5
"14,0",pulmonary alveolar type 1 cell (CL:0002062)[3 bg][lung],pulmonary alveolar type 2 cell (CL:0002063)[3 bg][lung],monocyte (CL:0000576)[2 bg][thymus],club cell (CL:0000158)[2 bg][lung],lung multiciliated epithelial cell (CL:1000271)[2 bg][lung],https://doi.org/10.1148/93.3.507; https://doi.org/10.1136/thx.13.2.110,https://doi.org/10.1148/93.3.507; https://doi.org/10.1136/thx.13.2.110,https://doi.org/10.1148/93.3.507; https://doi.org/10.1136/thx.13.2.110,https://doi.org/10.1148/93.3.507; https://doi.org/10.1136/thx.13.2.110,https://doi.org/10.1148/93.3.507; https://doi.org/10.1136/thx.13.2.110
"14,1",epithelial cell of late distal convoluted tubule (CL:4030017)[2 bg][kidney],kidney connecting tubule epithelial cell (CL:1000768)[2 bg][kidney],kidney loop of Henle thick ascending limb epithelial cell (CL:1001106)[1 bg][kidney],VendA_18 endothelial cell of artery (Hsap) (PCL:0051019)[1 bg][allen-brain],kidney outer medulla collecting duct principal cell (CL:1000716)[1 bg][kidney],https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1038/s41467-019-10861-2
"15,0",fallopian tube secretory epithelial cell (CL:4030006)[5 bg][fallopian-tube],transitional stage B cell (CL:0000818)[2 bg][blood-pelvis; bone-marrow],kidney loop of Henle medullary thick ascending limb epithelial cell (CL:1001108)[2 bg][kidney],naive B cell (CL:0000788)[2 bg][blood-pelvis; bone-marrow],neuron (CL:0000540)[2 bg][spinal-cord],https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1016/j.celrep.2021.108978
"15,1",kidney loop of Henle cortical thick ascending limb epithelial cell (CL:1001109)[5 bg][kidney],kidney loop of Henle medullary thick ascending limb epithelial cell (CL:1001108)[3 bg][kidney],kidney loop of Henle thick ascending limb epithelial cell (CL:1001106)[3 bg][kidney],Amex_419 amygdala excitatory neuron (Hsap) (PCL:0051420)[1 bg][allen-brain],mucosal-associated invariant T cell (CL:0000940)[1 bg][thymus],https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1016/j.devcel.2019.10.005; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1016/j.devcel.2019.10.005; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1016/j.devcel.2019.10.005; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1016/j.devcel.2019.10.005; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1016/j.devcel.2019.10.005; https://doi.org/10.1038/s41467-019-10861-2
"15,2",kidney distal convoluted tubule epithelial cell (CL:1000849)[2 bg][kidney],hypertrophic chondrocyte (CL:0000743)[2 bg][knee],epithelial cell of early distal convoluted tubule (CL:4030016)[2 bg][kidney],kidney loop of Henle thin descending limb epithelial cell (CL:1001111)[1 bg][kidney],Splat_366 neuron (Hsap) (PCL:0051367)[1 bg][allen-brain],https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1038/s41467-019-10861-2
"16,0",blood vessel endothelial cell (CL:0000071)[12 bg][lymph-node],pulmonary alveolar type 1 cell (CL:0002062)[6 bg][lung],endothelial cell of lymphatic vessel (CL:0002138)[4 bg][lymph-node],pulmonary alveolar type 2 cell (CL:0002063)[3 bg][lung],CD141-positive myeloid dendritic cell (CL:0002394)[2 bg][lymph-node; blood-pelvis],https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005
"16,1",podocyte (CL:0000653)[5 bg][kidney],naive B cell (CL:0000788)[3 bg][blood-pelvis; lymph-node],stromal cell of endometrium (CL:0002255)[3 bg][placenta],immature B cell (CL:0000816)[1 bg][blood-pelvis],committed double negative thymocyte (Homo sapiens) (CL:0009082)[1 bg][thymus],https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2
"16,2",neuron (CL:0000540)[5 bg][spinal-cord],myofibroblast cell (CL:0000186)[2 bg][lymph-node],Exc L3 THEMIS ENPEP primary motor cortex glutamatergic neuron (Hsap) (PCL:0015082)[1 bg][allen-brain],EMSN_426 medium spiny neuron (Hsap) (PCL:0051427)[1 bg][allen-brain],Inh L1 SST P4HA3 primary motor cortex GABAergic interneuron (Hsap) (PCL:0015017)[1 bg][allen-brain],https://doi.org/10.1016/j.neuron.2023.01.007,https://doi.org/10.1016/j.neuron.2023.01.007,https://doi.org/10.1016/j.neuron.2023.01.007,https://doi.org/10.1016/j.neuron.2023.01.007,https://doi.org/10.1016/j.neuron.2023.01.007
"17,0",extravillous trophoblast (CL:0008036)[9 bg][placenta],mononuclear cytotrophoblast cell (CL:0000523)[8 bg][placenta],syncytiotrophoblast cell (CL:0000525)[7 bg][placenta],endovascular extravillous trophoblast cell (CL:4033063)[3 bg][placenta],kidney connecting tubule beta-intercalated cell (CL:4030021)[3 bg][kidney],https://doi.org/10.1242/dev.148932; https://doi.org/10.1016/0198-8859(93)90138-Q; PMID:8804361; https://doi.org/10.1155/2021/6662201; https://doi.org/10.1095/biolreprod.106.055244; https://doi.org/10.1093/humrep/dem265; https://doi.org/10.1053/plac.2000.0559; https://doi.org/10.1016/j.jim.2003.03.001,https://doi.org/10.1242/dev.148932; https://doi.org/10.1016/0198-8859(93)90138-Q; PMID:8804361; https://doi.org/10.1155/2021/6662201; https://doi.org/10.1095/biolreprod.106.055244; https://doi.org/10.1093/humrep/dem265; https://doi.org/10.1053/plac.2000.0559; https://doi.org/10.1016/j.jim.2003.03.001,https://doi.org/10.1242/dev.148932; https://doi.org/10.1016/0198-8859(93)90138-Q; PMID:8804361; https://doi.org/10.1155/2021/6662201; https://doi.org/10.1095/biolreprod.106.055244; https://doi.org/10.1093/humrep/dem265; https://doi.org/10.1053/plac.2000.0559; https://doi.org/10.1016/j.jim.2003.03.001,https://doi.org/10.1242/dev.148932; https://doi.org/10.1016/0198-8859(93)90138-Q; PMID:8804361; https://doi.org/10.1155/2021/6662201; https://doi.org/10.1095/biolreprod.106.055244; https://doi.org/10.1093/humrep/dem265; https://doi.org/10.1053/plac.2000.0559; https://doi.org/10.1016/j.jim.2003.03.001,https://doi.org/10.1242/dev.148932; https://doi.org/10.1016/0198-8859(93)90138-Q; PMID:8804361; https://doi.org/10.1155/2021/6662201; https://doi.org/10.1095/biolreprod.106.055244; https://doi.org/10.1093/humrep/dem265; https://doi.org/10.1053/plac.2000.0559; https://doi.org/10.1016/j.jim.2003.03.001
"17,1",Amex_160 amygdala excitatory neuron (Hsap) (PCL:0051161)[1 bg][allen-brain],Splat_359 neuron (Hsap) (PCL:0051360)[1 bg][allen-brain],Amex_154 amygdala excitatory neuron (Hsap) (PCL:0051155)[1 bg][allen-brain],DLNP_93 near-projecting glutamatergic cortical neuron (Hsap) (PCL:0051094)[1 bg][allen-brain],Splat_370 neuron (Hsap) (PCL:0051371)[1 bg][allen-brain],https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898
"17,2",transitional stage B cell (CL:0000818)[2 bg][blood-pelvis; bone-marrow],naive B cell (CL:0000788)[2 bg][blood-pelvis; bone-marrow],subcapsular thymic epithelial cell (CL:0009077)[1 bg][thymus],thymic cortical macrophage (CL:0000883)[1 bg][thymus],memory B cell (CL:0000787)[1 bg][bone-marrow],https://doi.org/10.1073/pnas.172384399,https://doi.org/10.1073/pnas.172384399,https://doi.org/10.1073/pnas.172384399,https://doi.org/10.1073/pnas.172384399,https://doi.org/10.1073/pnas.172384399
"17,3",interstitial cell of Cajal (CL:0002088)[26 bg][large-intestine],mast cell (CL:0000097)[18 bg][kidney; large-intestine; lymph-node; skin],mast cell (ASCTB-TEMP:mast-cell)[18 bg][uterus],innate lymphoid cell (ASCTB-TEMP:innate-lymphoid-cell)[18 bg][uterus],neuron (CL:0000540)[13 bg][spinal-cord],https://doi.org/10.1152/ajpgi.00432.2011; https://doi.org/10.1007/978-1-4939-0897-4_3,https://doi.org/10.1152/ajpgi.00432.2011; https://doi.org/10.1007/978-1-4939-0897-4_3,https://doi.org/10.1152/ajpgi.00432.2011; https://doi.org/10.1007/978-1-4939-0897-4_3,https://doi.org/10.1152/ajpgi.00432.2011; https://doi.org/10.1007/978-1-4939-0897-4_3,https://doi.org/10.1152/ajpgi.00432.2011; https://doi.org/10.1007/978-1-4939-0897-4_3
"18,0",Regulatory Chondrocyte 1 (ASCTB-TEMP:regulatory-chondrocyte-1)[2 bg][knee],Inh L5-6 PVALB MEPE primary motor cortex GABAergic interneuron (Hsap) (PCL:0015071)[1 bg][allen-brain],retinal ganglion cell (CL:0000740)[1 bg][eye],blood vessel endothelial cell (CL:0000071)[1 bg][lymph-node],"",https://doi.org/10.1136/ard-2022-223227,https://doi.org/10.1136/ard-2022-223227,https://doi.org/10.1136/ard-2022-223227,https://doi.org/10.1136/ard-2022-223227,https://doi.org/10.1136/ard-2022-223227
"18,1",macrophage (CL:0000235)[78 bg][lymph-node; fallopian-tube; skin; large-intestine],Hofbauer cell (CL:3000001)[5 bg][placenta],uterine resident macrophage (CL:4033064)[3 bg][placenta],thymic macrophage (CL:0000866)[3 bg][thymus],Mgl_12 microglial cell (Hsap) (PCL:0051013)[2 bg][allen-brain],https://doi.org/10.1136/ard.2003.013029; https://doi.org/10.1016/j.actatropica.2016.01.008; https://doi.org/10.1038/labinvest.2016.116; https://doi.org/10.1038/jid.2010.165; https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1136/ard.2003.013029; https://doi.org/10.1016/j.actatropica.2016.01.008; https://doi.org/10.1038/labinvest.2016.116; https://doi.org/10.1038/jid.2010.165; https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1136/ard.2003.013029; https://doi.org/10.1016/j.actatropica.2016.01.008; https://doi.org/10.1038/labinvest.2016.116; https://doi.org/10.1038/jid.2010.165; https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1136/ard.2003.013029; https://doi.org/10.1016/j.actatropica.2016.01.008; https://doi.org/10.1038/labinvest.2016.116; https://doi.org/10.1038/jid.2010.165; https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1136/ard.2003.013029; https://doi.org/10.1016/j.actatropica.2016.01.008; https://doi.org/10.1038/labinvest.2016.116; https://doi.org/10.1038/jid.2010.165; https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1016/j.celrep.2021.108978
"19,0",fallopian tube secretory epithelial cell (CL:4030006)[5 bg][fallopian-tube],naive B cell (CL:0000788)[2 bg][blood-pelvis; bone-marrow],transitional stage B cell (CL:0000818)[2 bg][blood-pelvis; bone-marrow],neuron (CL:0000540)[2 bg][spinal-cord],reticular cell of splenic cord (CL:1000489)[2 bg][spleen],https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1016/j.celrep.2021.108978
"19,1",epithelial cell of proximal tubule segment 2 (CL:4030010)[3 bg][kidney],epithelial cell of proximal tubule (CL:0002306)[3 bg][kidney],epithelial cell of proximal tubule segment 1 (CL:4030009)[2 bg][kidney],L5ET_117 von Economo neuron (Hsap) (PCL:0051118)[1 bg][allen-brain],EMSN_229 medium spiny neuron (Hsap) (PCL:0051230)[1 bg][allen-brain],https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1016/j.devcel.2019.10.005; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1016/j.devcel.2019.10.005; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1016/j.devcel.2019.10.005; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1016/j.devcel.2019.10.005; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1016/j.devcel.2019.10.005; https://doi.org/10.1038/s41467-019-10861-2
"19,2",epithelial cell of proximal tubule (CL:0002306)[3 bg][kidney],neuron (CL:0000540)[3 bg][spinal-cord],lung multiciliated epithelial cell (CL:1000271)[2 bg][lung],LLC_273 interneuron (Hsap) (PCL:0051274)[1 bg][allen-brain],epithelial cell of proximal tubule segment 2 (CL:4030010)[1 bg][kidney],https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1681/ASN.2020010071; https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2
"19,3",parietal epithelial cell (CL:1000452)[2 bg][kidney],Effector Chondrocyte (ASCTB-TEMP:effector-chondrocyte)[2 bg][knee],Splat_399 neuron (Hsap) (PCL:0051400)[1 bg][allen-brain],Inh L2 PAX6 FREM2 primary motor cortex GABAergic interneuron (Hsap) (PCL:0015011)[1 bg][allen-brain],DLCT6b_105 glutamatergic neuron (Hsap) (PCL:0051106)[1 bg][allen-brain],https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41467-019-10861-2
"19,4",podocyte (CL:0000653)[6 bg][kidney],neutrophil (CL:0000775)[5 bg][fallopian-tube],pulmonary alveolar type 1 cell (CL:0002062)[3 bg][lung],Mmb_330 mammillary body neuron (Hsap) (PCL:0051331)[1 bg][allen-brain],EMSN_226 medium spiny neuron (Hsap) (PCL:0051227)[1 bg][allen-brain],https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1073/pnas.2005477117; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2
"2,0",blood vessel endothelial cell (CL:0000071)[25 bg][lymph-node; thymus],alveolar capillary type 1 endothelial cell (CL:4028002)[3 bg][lung],Effector Chondrocyte (ASCTB-TEMP:effector-chondrocyte)[2 bg][knee],mature CD4 single-positive thymocyte (CL:0002436)[2 bg][thymus],vein endothelial cell (CL:0002543)[1 bg][liver],https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005
"2,1",blood vessel endothelial cell (CL:0000071)[10 bg][lymph-node; thymus],neuron (CL:0000540)[5 bg][spinal-cord],reticular cell of splenic cord (CL:1000489)[3 bg][spleen],vasa recta descending limb cell (CL:1001285)[2 bg][kidney],Oligo L2-6 OPALIN MAP6D1 primary motor cortex oligodendrocyte (Hsap) (PCL:0015079)[1 bg][allen-brain],https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1007/s00441-008-0706-5,https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1007/s00441-008-0706-5,https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1007/s00441-008-0706-5,https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1007/s00441-008-0706-5,https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1007/s00441-008-0706-5
"2,2",innate lymphoid cell (ASCTB-TEMP:innate-lymphoid-cell)[18 bg][uterus],T cell (ASCTB-TEMP:t-cell)[18 bg][uterus],lymphocyte of large intestine lamina propria (CL:0009018)[11 bg][large-intestine],T-helper 17 cell (CL:0000899)[3 bg][thymus; lymph-node],pulmonary alveolar type 2 cell (CL:0002063)[3 bg][lung],https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073
"2,3",follicular dendritic cell (CL:0000442)[5 bg][spleen],alveolar type 1 fibroblast cell (CL:4028004)[3 bg][lung],DLCT6b_108 glutamatergic neuron (Hsap) (PCL:0051109)[1 bg][allen-brain],Inh L2-5 PVALB RPH3AL primary motor cortex GABAergic interneuron (Hsap) (PCL:0015064)[1 bg][allen-brain],DLCT6b_84 glutamatergic neuron (Hsap) (PCL:0051085)[1 bg][allen-brain],PMID: 20126587; https://doi.org/10.1111/imm.12469; https://doi.org/10.1038/s41467-019-09728-3; https://doi.org/10.1007/s00418-011-0799-x,PMID: 20126587; https://doi.org/10.1111/imm.12469; https://doi.org/10.1038/s41467-019-09728-3; https://doi.org/10.1007/s00418-011-0799-x,PMID: 20126587; https://doi.org/10.1111/imm.12469; https://doi.org/10.1038/s41467-019-09728-3; https://doi.org/10.1007/s00418-011-0799-x,PMID: 20126587; https://doi.org/10.1111/imm.12469; https://doi.org/10.1038/s41467-019-09728-3; https://doi.org/10.1007/s00418-011-0799-x,PMID: 20126587; https://doi.org/10.1111/imm.12469; https://doi.org/10.1038/s41467-019-09728-3; https://doi.org/10.1007/s00418-011-0799-x
"2,4",endothelial cell (CL:0000115)[9 bg][fallopian-tube; spinal-cord],blood vessel endothelial cell (CL:0000071)[9 bg][thymus],alveolar capillary type 2 endothelial cell (CL:4028003)[3 bg][lung],pulmonary alveolar type 2 cell (CL:0002063)[3 bg][lung],alveolar capillary type 1 endothelial cell (CL:4028002)[3 bg][lung],https://doi.org/10.1016/j.neuron.2023.01.007; https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1016/j.neuron.2023.01.007; https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1016/j.neuron.2023.01.007; https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1016/j.neuron.2023.01.007; https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1016/j.neuron.2023.01.007; https://doi.org/10.1016/j.celrep.2021.108978
"20,0",endothelial cell of arteriole (CL:1000412)[67 bg][large-intestine],endothelial cell of venule (CL:1000414)[65 bg][large-intestine],capillary endothelial cell (CL:0002144)[25 bg][large-intestine],"plasmacytoid dendritic cell, human (CL:0001058)[3 bg][spleen]",vein endothelial cell (CL:0002543)[2 bg][large-intestine],isBN:978-1496398949; ISBN:978-1496398949; https://doi.org/10.1007/978-1-4939-0897-4_3,isBN:978-1496398949; ISBN:978-1496398949; https://doi.org/10.1007/978-1-4939-0897-4_3,isBN:978-1496398949; ISBN:978-1496398949; https://doi.org/10.1007/978-1-4939-0897-4_3,isBN:978-1496398949; ISBN:978-1496398949; https://doi.org/10.1007/978-1-4939-0897-4_3,isBN:978-1496398949; ISBN:978-1496398949; https://doi.org/10.1007/978-1-4939-0897-4_3
"20,1",reticular cell of splenic cord (CL:1000489)[1 bg][spleen],myo-medullary thymic epithelial cell (CL:0009075)[1 bg][thymus],Inh L5-6 PVALB MEPE primary motor cortex GABAergic interneuron (Hsap) (PCL:0015071)[1 bg][allen-brain],DLNP_93 near-projecting glutamatergic cortical neuron (Hsap) (PCL:0051094)[1 bg][allen-brain],"",https://doi.org/10.1038/nri2588; https://doi.org/10.1111/imm.12469,https://doi.org/10.1038/nri2588; https://doi.org/10.1111/imm.12469,https://doi.org/10.1038/nri2588; https://doi.org/10.1111/imm.12469,https://doi.org/10.1038/nri2588; https://doi.org/10.1111/imm.12469,https://doi.org/10.1038/nri2588; https://doi.org/10.1111/imm.12469
"20,2",neuron (CL:0000540)[5 bg][spinal-cord],CGE_291 VIP GABAergic cortical interneuron (Hsap) (PCL:0051292)[1 bg][allen-brain],DLCT6b_106 glutamatergic neuron (Hsap) (PCL:0051107)[1 bg][allen-brain],Splat_371 neuron (Hsap) (PCL:0051372)[1 bg][allen-brain],MGE_252 sst GABAergic cortical interneuron (Hsap) (PCL:0051253)[1 bg][allen-brain],https://doi.org/10.1016/j.neuron.2023.01.007,https://doi.org/10.1016/j.neuron.2023.01.007,https://doi.org/10.1016/j.neuron.2023.01.007,https://doi.org/10.1016/j.neuron.2023.01.007,https://doi.org/10.1016/j.neuron.2023.01.007
